Entry	Mass
P61163	42,614
P42025	42,293
P61160	44,761
P61158	47,371
Q9P1U1	47,608
Q9H9F9	68,297
Q9GZN1	45,810
Q9H981	70,484
Q8TDG2	41,696
Q8TDY3	41,702
Q9BYD9	41,008
Q04771	57,153
P36896	56,807
Q8NER5	54,871
P27037	57,848
Q13705	57,724
P37023	56,124
Q03154	45,885
Q96HD9	35,241
P07311	11,261
P14621	11,140
P00813	40,764
Q96M93	64,411
Q8NCV1	61,755
Q6DHV7	40,264
O14672	84,142
O75078	83,418
O43184	99,542
Q13444	92,959
P78536	93,021
Q9Y3Q7	82,856
Q9H013	104,997
Q99965	82,457
O43506	81,603
Q9UKJ8	80,834
Q9P0K1	100,433
O75077	91,926
Q9UKQ2	87,148
Q9UKF5	92,759
Q9UKF2	88,940
Q8TC27	87,948
Q9BZ11	87,739
Q6NVV9	47,181
Q9H2U9	85,669
P78325	88,771
Q13443	90,556
O15204	52,775
Q9UHI8	105,358
Q9H324	120,874
P58397	177,676
Q76LX8	153,604
Q8WXS8	133,888
Q8TE58	103,287
Q8TE57	136,203
Q8TE56	121,127
Q8TE60	135,167
Q8TE59	134,048
O95450	134,755
P59510	214,721
O15072	135,603
O75173	90,197
Q9UNA0	101,718
Q9UKP5	125,273
Q9UKP4	184,095
Q9UP79	96,460
Q9P2N4	216,491
Q8N6G6	193,409
Q86TH1	104,621
P82987	188,692
Q6UY14	116,545
Q6ZMM2	53,193
O75689	43,395
Q9NPF8	44,349
P55265	136,066
P78563	80,763
Q9NS39	80,621
Q9BUB4	55,392
Q7Z6V5	21,046
Q96EY9	38,071
Q96A70	49,980
Q86TW2	60,577
Q7Z695	68,982
Q8NI60	71,950
Q96D53	60,069
Q3MIX3	65,828
Q08828	123,440
Q96PN6	187,149
Q08462	123,603
O60266	128,960
Q8NFM4	119,794
O95622	138,908
O43306	130,615
P51828	120,308
P40145	140,122
O60503	150,701
P18509	18,835
P41586	53,314
P35611	80,955
P35612	80,854
Q9UEY8	79,155
Q8N7X0	189,713
P07327	39,859
P00325	39,855
P00326	39,868
P08319	40,222
P11766	39,724
P28332	39,073
P40394	41,481
Q8IWW8	50,308
Q9BV57	21,498
Q0VDE8	9,465
Q15848	26,414
Q96A54	42,616
Q86V24	43,884
P55263	40,545
P35318	20,420
Q9H2P0	123,563
Q6IQ32	122,833
Q96SZ5	29,751
P30542	36,512
P29274	44,707
P29275	36,333
P0DMS8	36,185
Q9BRR6	54,089
P54922	39,507
Q8NDY3	40,105
Q9NX46	38,947
P35368	56,836
P25100	60,463
P08913	50,647
P18089	49,954
P18825	49,522
P07550	46,459
P13945	43,519
P25098	79,574
P35626	79,710
Q16186	42,153
P30566	54,889
P30520	50,097
Q8N142	50,208
Q96IZ2	26,842
Q8IUX7	130,929
Q6ZN18	54,467
Q8WTP8	36,350
Q08117	21,970
Q9NQ60	32,840
Q8N556	80,725
Q8TED9	86,432
Q8N4X5	91,300
P51825	131,422
P51816	144,771
P51826	133,503
Q9UHB7	127,459
Q9Y4W6	88,584
P43652	69,069
Q63HM1	33,992
P02771	68,678
Q6ULP2	102,113
P20933	37,208
Q9UPQ3	94,470
Q8TF27	60,549
Q99490	124,674
Q96P47	95,044
Q5VTM2	77,972
Q96MI9	125,330
Q5U5Z8	104,194
Q8NEM8	116,011
Q5VU57	58,230
Q8NDL9	97,534
Q15109	42,803
P52594	58,260
O95081	48,963
Q8N302	80,977
Q53H12	47,137
P35573	174,764
Q9BSE5	37,660
Q6ZNB7	51,500
Q99943	31,717
O15120	30,914
Q9NRZ7	43,381
Q9NRZ5	44,021
Q9NUQ2	42,072
Q86UL3	52,071
Q53EU6	48,705
A2RU49	41,933
O00116	72,912
O95994	19,979
Q8TD06	19,171
O00468	217,320
O00253	14,440
P01019	53,154
Q9UPW5	138,448
P30556	41,061
P50052	41,184
Q6RW13	17,419
P21549	43,010
Q9BYV1	57,156
Q8TBG4	55,671
Q8IUZ5	49,711
Q8WYP5	252,498
P23526	47,716
O43865	58,951
Q96HN2	66,721
Q5TGY3	168,349
Q8N157	137,115
Q09666	629,101
Q8IVF2	616,629
P35869	96,147
A9YTQ3	76,265
O95433	38,274
Q719I0	33,806
P02765	39,341
Q9NZD4	11,840
Q9GZX7	23,954
Q96BJ3	35,023
P55008	16,703
Q9BQI0	17,068
O95831	66,901
Q96NN9	66,791
Q9NVV5	27,458
Q9Y4K1	188,676
Q8N1P7	177,913
O14862	38,954
Q12904	34,353
Q13155	35,349
O00170	37,636
Q9NZN9	43,903
O43918	57,727
Q9UKB5	44,536
Q96IF1	56,934
P00568	21,635
P54819	26,478
Q9UIJ7	25,565
P27144	25,268
Q9Y6K8	63,333
Q96M32	82,658
Q96MA6	54,926
Q92667	97,342
O43572	73,818
Q9UKA4	210,512
Q02952	191,482
Q12802	307,550
Q86UN6	22,815
Q02040	80,735
Q9Y2D5	94,661
O75969	94,751
Q5JQC9	94,477
P24588	47,088
Q13023	256,720
O43687	11,465
Q9P0M2	39,518
O43823	76,108
Q9ULX6	71,640
Q99996	452,987
Q5TCS8	221,413
Q9NQ31	23,114
Q9H9L7	21,867
Q53H80	22,496
Q7Z591	155,139
Q5T1N1	92,864
P14550	36,573
P15121	35,853
O60218	36,020
C9JRZ8	36,537
Q04828	36,788
P52895	36,735
P42330	36,853
P17516	37,067
P51857	37,377
Q96JD6	36,589
O43488	39,589
O95154	37,206
Q8NHP1	36,970
P31749	55,686
Q96B36	27,383
P31751	55,769
Q9Y243	55,775
Q9H8T0	33,128
P13716	36,295
P13196	70,581
P22557	64,633
P02768	69,367
Q13740	65,102
Q8IZ83	85,127
P54886	87,302
P00352	54,862
O94788	56,724
P47895	56,108
P30837	57,206
O75891	98,829
Q3SY69	101,746
P05091	56,381
P30838	50,395
P51648	54,848
P43353	51,840
P48448	42,635
P30038	61,719
P51649	57,215
Q02252	57,840
P49419	58,487
Q9H2A2	53,401
P49189	53,802
P04075	39,420
P05062	39,473
P09972	39,456
Q9BT22	52,518
Q5BKT4	55,606
Q2TAA5	55,651
Q9BV10	54,655
Q9NP73	126,056
Q96F25	24,151
C9J202	24,154
Q9H553	47,092
Q92685	50,126
Q9Y673	36,946
Q9Y672	58,121
Q9BVK2	60,088
Q9H6U8	69,863
Q9UM73	176,442
Q13686	43,832
Q6NS38	29,322
Q96Q83	33,375
Q9NXW9	33,838
Q6P6C2	44,256
Q3KRA9	26,483
Q9BT30	24,516
Q96BT7	75,208
Q8N6M5	43,559
Q8TCU4	461,062
P18054	75,694
O75342	80,356
P16050	74,804
O15296	75,857
P09917	77,983
P20292	18,157
Q9BYJ1	80,543
P09923	56,812
Q96QP1	138,861
Q86TB3	237,013
P05186	57,305
P05187	57,954
P10696	57,377
Q96Q42	183,634
Q60I27	107,748
Q53TS8	71,159
Q96Q35	52,439
Q8N187	80,698
Q15699	36,961
Q9H161	44,241
Q86V81	26,888
Q9UHK6	42,387
P02760	38,999
Q9C0C7	142,507
P17707	38,340
Q96NU7	46,743
Q9Y303	43,748
Q9UKV5	72,996
Q16671	62,750
Q86YT9	44,339
Q86WK6	55,239
Q86SJ2	57,934
Q86WK7	55,250
Q9Y4X0	35,463
Q6DCA0	34,499
Q9BXJ7	47,754
Q8IY45	28,408
Q4VCS5	118,085
Q8IY63	106,574
Q9Y2J4	85,764
P23109	90,219
Q01433	100,688
Q01432	88,812
P49418	76,257
P48728	43,946
P0DUB6	57,768
P04746	57,707
P19961	57,710
Q400G9	54,924
Q86W34	41,263
Q9H1A4	216,500
Q9UM13	21,252
Q9NYG5	9,841
Q9BS18	8,521
P60006	14,281
Q96DE5	11,667
Q9UJX5	92,116
Q9UJX4	85,077
Q9UJX3	66,855
P03950	16,550
Q9UNK9	75,276
Q5VTE6	62,339
Q15389	57,513
O15123	56,919
Q9Y264	56,849
O95841	56,720
Q9UKU9	57,104
Q9Y5C1	53,637
Q9BY76	45,214
Q86XS5	44,144
Q8NI99	51,694
O43827	40,018
E9PGG2	41,695
P16157	206,265
Q01484	433,715
Q12955	480,410
Q7Z5J8	162,026
Q495B1	57,550
A6NHY2	59,088
Q8N957	87,604
Q9P2R3	128,399
Q9HCJ1	54,241
Q8IWZ3	269,458
Q9P2G1	122,002
Q8NFD2	84,632
Q8NAG6	66,890
Q86XL3	104,114
Q9P2S6	105,516
Q8IV38	49,299
Q9H9E1	34,272
Q15327	36,252
Q9NXR5	44,768
Q6UB99	297,913
Q6UB98	235,652
Q8IZ07	67,619
Q86YJ7	70,205
Q8N6S4	60,818
Q6ZTN6	58,476
Q6P6B7	39,284
O75179	274,258
Q8IVF6	115,597
A2A2Z9	118,231
Q9H560	30,436
Q9GZV1	39,859
Q4UJ75	94,149
Q5CZ79	93,909
Q5VYY1	21,849
Q86SG2	34,297
Q8TF21	124,187
Q9UPS8	196,411
Q6NSI1	35,437
Q96NW4	116,984
O15084	112,966
Q8N6D5	32,442
Q9BXX3	158,835
Q9BXX2	158,049
A7E2S9	28,549
Q8N7Z5	210,816
Q9BQI6	121,050
Q7Z3H0	49,403
A6NCL7	53,975
Q69YU3	52,636
A5PLL1	56,414
P0C6C1	58,256
Q8N283	109,966
A6QL64	214,500
Q8N2N9	153,582
Q96IX9	14,172
Q5JPF3	199,748
Q7Z713	16,872
Q53RE8	19,651
Q6AI12	41,088
Q8N9B4	43,052
Q8N8A2	107,603
Q5TZF3	29,977
Q86W74	25,330
Q8WVL7	27,290
Q9NU02	86,664
Q9ULJ7	155,859
Q8NB46	115,077
Q8N9V6	59,571
Q6NXT1	32,505
Q3KP44	68,414
Q9Y2G4	79,971
Q9BZ19	37,630
A6NGH8	46,141
A6NC57	106,446
C9JTQ0	39,620
E5RJM6	41,497
Q92527	29,029
Q96BM1	34,295
Q92625	123,108
Q7Z6G8	138,066
Q6ZW76	72,038
Q8N8V4	46,597
Q68DC2	92,219
A6NFN9	56,600
Q9H8Y5	80,927
Q9NQW6	124,199
Q5XXA6	114,078
Q9NW15	76,329
Q9NQ90	113,969
Q9BYT9	114,657
Q32M45	111,462
Q75V66	107,188
Q4KMQ2	106,165
Q6IWH7	105,532
Q9HCE9	136,034
A1A5B4	90,333
P39687	28,585
Q92688	28,788
O43423	26,762
O95626	14,806
Q9BTT0	30,692
P15144	109,540
P58335	53,666
A6NF34	70,629
P04083	38,714
Q9UJ72	37,278
P50995	54,390
P27216	35,415
P07355	38,604
A6NMY6	38,659
Q3ZCQ2	21,682
P12429	36,375
P09525	35,883
P08758	35,937
P08133	75,873
P20073	52,739
Q5VT79	36,879
O76027	38,364
P28039	65,105
O75106	83,673
Q16853	84,622
Q8N6M6	93,572
Q06278	147,918
Q63HQ0	34,280
Q10567	104,637
O43747	91,351
O75843	87,117
Q9BXS5	48,587
Q9Y6Q5	48,108
P61966	18,733
P56377	18,615
Q96PC3	18,280
O95782	107,546
O94973	103,960
P63010	104,553
Q96CW1	49,655
P53680	17,018
O00203	121,320
Q13367	119,059
O14617	130,158
Q9Y2T2	46,939
P53677	46,977
Q92572	21,732
P59780	22,017
Q9Y6B7	83,260
Q9UPM8	127,287
O00189	49,977
Q9Y587	17,005
Q2VPB7	93,949
Q9H0R1	54,767
Q9NUS5	22,522
O43299	88,605
O14727	141,840
Q02410	92,865
Q99767	82,512
O96018	61,454
O00213	77,244
Q7Z5R6	73,183
Q92870	83,374
O95704	52,585
P25054	311,646
O95996	243,949
Q9UJX6	93,828
Q8J025	58,797
Q8NCL9	55,635
P02743	25,387
P13798	81,225
Q9UBZ4	57,401
Q96BI3	28,996
Q8WW43	28,460
Q9BZZ5	59,005
Q96GX9	27,125
Q8N2Z9	15,893
Q8IW19	56,956
P35414	42,660
P51693	72,176
Q15847	7,855
Q9HDC9	46,480
P02647	30,778
Q8NCW5	31,675
P02652	11,175
P06727	45,372
Q6Q788	41,213
P04114	515,605
P41238	28,192
Q9Y235	25,703
P31941	23,012
Q9UH17	45,924
Q9NRW3	22,826
Q96AK3	46,598
Q8IUX4	45,020
Q9HC16	46,408
Q8WW27	41,581
Q0VD83	115,634
P02654	9,332
P02655	11,284
P02656	10,852
P55056	14,553
P05090	21,276
P02649	36,154
Q13790	35,399
P02749	38,298
O14791	43,974
Q9BQE5	37,092
O95236	44,278
Q9BPW4	39,164
Q9BWW9	47,044
Q9BWW8	38,128
Q96LR9	30,546
O95445	21,253
Q9BUR5	22,285
Q6UXV4	29,159
Q96IL0	24,153
P05067	86,943
Q92624	66,853
Q9UKG1	79,663
Q06481	86,956
Q8NEU8	74,493
Q6UW56	24,747
Q8IVJ8	18,525
P07741	19,608
Q7Z2E3	40,740
P29972	28,526
Q96PS8	31,763
Q8NBQ7	30,203
Q8IXF9	31,475
P41181	28,837
Q92482	31,544
P55087	34,830
P55064	28,292
Q13520	29,370
A6NL99	37,357
O94778	27,381
O14520	37,232
O43315	31,431
Q6Q4G3	113,283
O60306	171,295
P10275	99,188
P10398	67,585
Q96P48	162,192
Q8WZ64	193,452
Q8WWN8	169,844
Q7LC44	45,316
P48444	57,210
P15514	27,895
P84077	20,697
P61204	20,601
P18085	20,511
P84085	20,530
P62330	20,082
Q8N6T3	44,668
Q8N6H7	56,720
Q9NP61	56,928
Q9Y6D6	208,767
Q9Y6D5	202,038
Q5TH69	240,652
P53367	41,738
P53365	37,856
Q13795	22,614
P05089	34,735
P78540	38,578
A6NJG6	35,617
Q9NWB6	33,216
Q07960	50,436
A1A4S6	89,375
Q6P4F7	113,866
Q8IWW6	96,254
Q53QZ3	54,544
Q68EM7	95,437
Q8N392	74,977
Q14CB8	55,756
Q9P2F6	132,608
Q5T5U3	217,462
Q7Z5H3	76,779
Q9P227	162,192
Q8N264	84,258
P42331	73,435
Q9UNA1	92,235
Q6ZUM4	98,396
Q9P2N2	82,060
Q52LW3	142,064
Q7Z6I6	118,582
Q2M1Z3	156,985
A7KAX9	230,529
O14559	137,213
Q9NRY4	170,514
Q6ZRI8	61,664
Q9C0H5	121,286
P98171	105,026
Q5TG30	68,908
A6NI28	98,569
Q17R89	89,247
Q13017	172,460
Q96IT6	6,106
O43182	105,947
P85298	53,484
Q9BRR9	83,260
P52565	23,207
P52566	22,988
Q99819	25,098
Q92888	102,435
O15013	151,612
Q9HCE6	140,379
O15085	167,704
Q9NZN5	173,232
O94989	91,940
Q5VV41	80,105
Q96PE2	221,673
Q6ZSZ5	151,642
Q8IW93	89,197
Q92974	111,543
Q86VW2	63,843
Q96DR7	97,346
Q9NR81	59,783
A8MVX0	94,633
A5YM69	53,287
A1IGU5	76,278
Q9NXL2	89,078
Q9NR80	79,067
Q8TER5	164,658
Q12774	176,799
Q15052	87,499
Q14155	90,012
O43307	60,982
O14497	242,045
Q8NFD5	236,123
Q68CP9	197,391
Q99856	62,889
Q8IVW6	60,637
A6NKF2	44,073
Q4LE39	147,809
Q03989	64,074
Q14865	132,375
Q9Y4X5	64,118
O95376	57,819
P40616	20,418
Q8N8L6	27,459
Q969Q4	21,391
Q5H913	33,003
Q3SXY8	48,643
Q8N4G2	21,588
Q9NXU5	22,876
Q0P5N6	20,936
Q8IVW1	19,388
P36404	20,878
Q9Y2Y0	18,822
P36405	20,456
P40617	22,615
P56559	21,487
P49703	22,156
Q9Y689	20,728
Q96KC2	20,375
Q9H0F7	21,097
Q15041	23,363
Q66PJ3	44,915
O75915	21,615
Q8N6S5	24,676
Q96BM9	21,416
Q9NVJ2	21,539
Q6T311	20,755
Q9NVT9	31,281
Q8N2F6	37,540
Q5T9G4	38,632
Q8NEN0	96,867
Q5W041	96,405
Q5T2S8	115,679
Q96C12	97,682
Q6NXE6	54,142
Q9H6L4	21,924
Q8IUR7	75,509
Q7Z3E5	91,819
Q9P291	49,180
Q7L311	65,683
Q9UH62	42,501
Q5H9R4	235,964
Q6P1M9	62,346
Q7L4S7	33,019
P0C7Q2	11,437
P27540	86,636
Q9HBZ2	78,691
O00327	68,762
Q8WYA1	70,887
Q92747	41,569
O15143	40,950
O15144	34,333
O15145	20,547
P59998	19,667
O15511	16,320
Q9BPX5	16,941
P56211	12,323
Q9UBL0	89,196
P36575	42,778
P49407	47,066
P32121	46,106
Q8N5I2	45,981
Q8TBH0	44,379
Q96B67	46,395
Q8NCT1	45,479
A6NEK1	38,383
P15289	53,588
P15848	59,687
P51689	64,860
P51690	65,669
P54793	65,940
Q96EG1	57,061
Q5FYA8	63,525
Q5FYB1	64,030
Q5FYB0	67,235
Q6UWY0	61,450
P52961	36,335
Q13508	43,923
Q96L15	32,054
Q5T4W7	22,878
Q9H2C2	31,052
O00192	104,642
Q96QS3	58,160
Q9HBK9	41,748
Q13510	44,660
Q9NR71	85,516
P0C7U1	19,025
Q9ULH1	125,498
O43150	111,651
Q8TDY4	99,155
Q9Y576	37,014
Q8WXI3	50,894
Q8WXH4	35,367
Q8WXK3	30,007
A6NK59	65,331
Q8WXK1	65,799
Q96NS5	49,637
Q6ZVZ8	50,803
Q96Q27	65,084
Q9Y575	57,745
Q9Y574	48,195
Q8WWX0	36,341
Q9NWX5	47,136
Q9H672	36,011
Q9H765	31,642
Q96DX5	31,858
Q8N9N2	45,509
Q9H1I8	86,360
Q8N3C0	251,460
Q99929	20,185
Q6XD76	19,253
Q7RTU5	29,462
Q9Y294	22,969
Q9NVP2	22,434
P07306	33,186
P07307	35,092
Q9NR48	332,790
Q9UBL3	68,723
P78348	59,909
Q16515	57,709
Q9UHC3	58,905
Q96FT7	70,105
Q9NY37	57,464
P04424	51,658
P46597	38,453
O95671	68,857
O43681	38,793
P08243	64,370
Q9NWL6	72,080
P45381	35,735
A6ND91	29,946
Q86U10	60,883
Q12797	85,863
Q5U4P2	41,128
Q6ICH7	41,699
Q8IZT6	409,800
Q9BXN1	43,417
Q53RT3	36,991
Q9BZE9	60,183
Q7L266	32,055
P00966	46,530
Q2TB18	77,093
Q6HA08	45,936
O14525	144,913
O75129	148,243
Q9NVM9	80,225
Q8IXJ9	165,432
Q76L83	153,820
Q9C0F0	241,919
Q8WWH4	53,458
Q8NBU5	40,744
Q6PL18	158,554
Q9ULI0	164,914
Q9NVI7	71,369
Q5T9A4	72,573
Q5T2N8	46,380
Q96QE3	207,570
Q5SQI0	46,810
Q86WG3	42,120
O95260	59,090
P18846	29,233
P15336	54,537
P18847	20,576
P18848	38,590
Q9Y2D1	30,674
P18850	74,585
Q99941	76,709
P17544	51,757
Q6VMQ6	136,394
Q5U623	75,764
Q9H0Y0	25,279
Q9BSB4	25,003
O94817	15,113
O75143	56,572
Q6ZNE5	55,309
Q676U5	68,265
Q8NAA4	68,998
Q2TAZ0	212,860
Q96BY7	232,763
Q9NT62	35,864
Q8WYN0	45,378
Q9Y4P1	44,294
Q96DT6	52,497
Q86TL0	52,922
Q9H1Y0	32,447
O95352	77,960
Q7Z3C6	94,447
Q674R7	101,019
Q32M88	80,655
P31939	64,616
Q8NHH9	66,229
Q6DD88	60,542
Q13315	350,687
O43313	88,348
P54259	125,414
Q92858	38,160
Q8N100	16,871
Q96SQ7	34,644
O00244	7,402
O60312	167,688
O94823	165,391
Q9P241	160,274
P98196	129,756
Q9Y2G3	134,190
Q8NB49	129,477
P54707	115,511
Q9HD20	132,955
Q9NQ11	128,794
Q9H7F0	138,043
Q4VNC1	133,987
Q4VNC0	137,327
P05023	112,896
P50993	112,265
P13637	111,749
Q13733	114,166
P05026	35,061
P14415	33,367
P54709	31,513
Q9UN42	41,598
O14983	110,252
P16615	114,757
Q93084	109,256
P20020	134,685
Q01814	136,876
Q16720	134,197
P23634	137,920
P98194	100,577
O75185	103,169
P20648	114,119
P51164	33,367
P25705	59,751
P06576	56,560
P36542	32,996
P30049	17,490
P56381	5,780
Q5VTU8	5,807
P24539	28,909
P05496	14,277
Q06055	14,637
P48201	14,693
O75947	18,491
P56385	7,933
P18859	12,588
P56134	10,918
O75964	11,428
Q7Z4Y8	11,037
P48047	23,277
Q99766	24,866
Q9NW81	29,267
Q15904	52,026
Q52LC2	25,310
O75787	39,008
Q93050	96,413
Q9Y487	98,082
Q9HBG4	96,386
P27449	15,736
P61421	40,329
Q8N8Y2	40,426
P38606	68,304
P15313	56,833
P21281	56,501
P21283	43,942
Q8NEY4	48,759
Q9Y5K8	28,263
P36543	26,145
Q96A05	26,074
Q16864	13,370
O75348	13,758
O95670	13,604
Q96LB4	13,917
Q9UI12	55,883
Q04656	163,373
P35670	157,263
Q9Y2Q0	131,369
Q9NTI2	133,599
O43520	143,695
P98198	137,440
O60423	146,752
Q8TF62	135,868
O75110	118,583
O43861	129,304
Q5TC12	36,437
Q6PEX7	23,280
Q8N5M1	32,772
Q7L8W6	30,307
Q9UII2	12,249
Q13535	301,367
Q9H6X2	62,789
Q8WXE1	85,838
O75882	158,537
Q5VV63	152,639
P54253	86,923
Q9UBB4	53,489
P0C7T5	73,306
Q99700	140,283
Q8WWM7	113,374
P54252	41,250
Q9H3M9	40,747
O15265	95,451
Q9ULK2	91,514
Q5T6C5	77,181
Q14CW9	38,651
Q96GX2	10,771
Q13825	35,609
Q9Y679	45,787
O14965	45,809
Q9NWT8	22,354
Q96GD4	39,311
Q9UQB9	35,591
Q8WXX7	138,982
Q9NQS1	38,506
O75366	92,027
Q8NBF6	71,947
P01185	17,325
Q5T686	16,773
P37288	46,800
P47901	46,971
P30518	40,279
Q6E213	38,094
Q5T1B0	118,027
O15169	95,635
Q9Y2T1	93,558
P30530	98,337
P25311	34,259
Q9UPN4	122,149
Q9H6S1	44,935
O14977	49,535
P20160	26,886
P61769	13,715
O75752	39,512
Q8NCR0	56,704
Q9Y5Z6	37,993
O43825	49,213
O96024	41,537
Q9Y2C3	36,189
Q96L58	37,138
Q6Y288	56,564
Q9P2W7	38,256
Q9NPZ5	36,919
O94766	37,122
Q9NY97	46,022
Q9Y2A9	42,534
Q9C0J1	42,310
Q9BYG0	44,053
O43505	47,119
Q6ZMB0	42,748
Q8NFL0	45,987
Q7Z7M8	43,396
Q6UX72	43,751
Q67FW5	40,713
Q00973	58,882
Q8NHY0	63,258
Q6L9W6	114,975
Q76KP1	116,513
P15291	43,920
O60909	41,972
O60512	43,928
O60513	40,041
O43286	45,119
Q9UBX8	44,914
Q9UBV7	37,406
Q9UPM9	22,775
Q9BPU9	19,261
Q8WXS3	15,551
Q14032	46,299
Q9NWV8	36,560
P56817	55,764
Q9Y5Z0	56,180
O14867	81,958
Q9BYV9	92,537
Q92934	18,392
Q99933	38,779
O95816	23,772
O95817	61,595
O95429	49,594
Q9UL15	51,200
P46379	119,409
Q13072	4,810
Q9P281	280,016
Q8TBE0	84,652
O14514	173,501
O60241	172,656
O60242	171,518
Q9UQB8	60,868
Q9UHR4	56,883
Q6UXY1	58,987
O94812	131,901
Q16611	23,409
Q13145	29,108
O75531	10,059
Q9H503	10,309
Q8NDB2	89,282
Q8N9N5	56,494
Q92560	80,362
Q8IXM2	17,900
Q99728	86,648
Q9BZE3	35,074
Q9NY43	41,981
Q9HBU1	27,298
Q9UMQ3	31,188
P80723	22,693
Q16520	14,120
Q8N1L9	29,398
Q9NR55	14,468
Q07812	21,184
Q9NRL2	178,702
Q9UIG0	170,903
Q9UIF9	211,198
Q9UIF8	240,459
Q96PG8	26,498
Q9BXH1	20,532
A8MTZ0	10,506
O75936	44,715
Q8NFJ9	65,083
Q8TAM1	80,838
Q6ZW61	79,085
Q9BXC9	79,871
Q96RK4	58,282
Q8N3I7	38,755
Q8IWZ6	80,353
Q3SYG4	99,280
Q8WY36	105,130
P50895	67,405
Q96GW7	99,118
Q9UHQ4	28,320
P51572	27,992
P56945	93,372
O75815	92,566
O75363	61,709
O75934	26,131
