EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD
47	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	B cells	cl	B cells	Protein	FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient
48	17641064	Homo sapiens	Exosomes with immune modulatory features are present in human breast milk.	Breast milk	ts	Breast milk - mature milk	Protein	Mass spectrometry [QSTAR]|Western blotting|Immunoelectron Microscopy|FACS	2007	Differential centrifugation|Filtration|Sucrose density gradient
49	14582906	Homo sapiens	Exosomes with major histocompatibility complex class II and co-stimulatory molecules are present in human BAL fluid.	Bronchoalveolar lavage fluid	ts	Bronchoalveolar lavage fluid	Protein	FACS|Immunoelectron Microscopy	2003	Differential centrifugation|Immunobeads (EpCAM)
50	14582906	Homo sapiens	Exosomes with major histocompatibility complex class II and co-stimulatory molecules are present in human BAL fluid.	Dendritic cells	ts	Monocyte-derived dendritic cells	Protein	FACS|Immunoelectron Microscopy	2003	Differential centrifugation|Immunobeads (EpCAM)
51	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Breast cancer	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient
52	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Lung cancer	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient
53	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Mesothelioma	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2004	Differential centrifugation|Sucrose density gradient
54	14975938	Homo sapiens	Proteomic analysis of exosomes isolated from human malignant pleural effusions.	Malignant pleural effusions	ts	Pleural Fluid - Ovarian adenocarcioma	Protein	Western blotting	2004	Differential centrifugation|Sucrose density gradient
55	12147373	Homo sapiens	Malignant effusions and immunogenic tumour-derived exosomes.	Malignant pleural effusions	ts	Malignant pleural effusions	Protein	Western blotting	2002	Differential centrifugation|Sucrose density gradient
56	12147373	Homo sapiens	Malignant effusions and immunogenic tumour-derived exosomes.	Malignant ascites	ts	Malignant ascites	Protein	Western blotting	2002	Differential centrifugation|Sucrose density gradient
57	17700640	Homo sapiens	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Urine	ts	Urine - Normal	Protein	Western blotting|FACS	2007	Differential centrifugation|Sucrose density gradient
58	17700640	Homo sapiens	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Amniotic fluid	ts	Amniotic fluid	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient
59	17700640	Mus musculus	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Amniotic fluid	ts	Amniotic fluid	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient
60	17700640	Mus musculus	CD24 is a marker of exosomes secreted into urine and amniotic fluid.	Urine	ts	Urine - Normal	Protein	Western blotting	2007	Differential centrifugation|Sucrose density gradient
61	17133577	Mus musculus	Association of citrullinated proteins with synovial exosomes.	Synovial fluid	ts	Synovial fluid - osteoarthritis and reactive arthritis	Protein	Immunoelectron Microscopy|Mass spectrometry [MALDI TOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient
62	17133577	Mus musculus	Association of citrullinated proteins with synovial exosomes.	Synovial fluid	ts	Synovial fluid - rheumatoid arthritis	Protein	Immunoelectron Microscopy|Mass spectrometry [MALDI TOF]|Western blotting	2006	Differential centrifugation|Sucrose density gradient
63	19056867	Homo sapiens	Large-scale proteomics and phosphoproteomics of urinary exosomes.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LTQ]|Western blotting	2009	Differential centrifugation
64	18520029	Homo sapiens	Exosome-like vesicles with dipeptidyl peptidase IV in human saliva.	Saliva	ts	Saliva	Protein	Western blotting|Immunoelectron Microscopy|N-terminal animo acid sequencing	2008	Filtration|Diafiltration|Gel filtration
65	19415654	Homo sapiens	Proteomics of MUC1-containing lipid rafts from plasma membranes and exosomes of human breast carcinoma cells MCF-7.	Breast cancer cells	cl	MCF-7	Protein	Mass spectrometry [MALDI TOF]|Western blotting	2009	Differential centrifugation|Sucrose density gradient
66	19199708	Homo sapiens	Proteomic analysis of human parotid gland exosomes by multidimensional protein identification technology (MudPIT).	Saliva	ts	Saliva	Protein	Mass spectrometry [LTQ]|Western blotting|Immunoelectron Microscopy	2009	Differential centrifugation
67	19619303	Homo sapiens	Claudin-containing exosomes in the peripheral circulation of women with ovarian cancer.	Ovarian cancer cells	cl	BG-1	Protein	Western blotting|Immunoelectron Microscopy	2009	Differential centrifugation|Sucrose density gradient
68	19619303	Homo sapiens	Claudin-containing exosomes in the peripheral circulation of women with ovarian cancer.	Plasma	ts	Plasma - Ovarian cancer	Protein	Western blotting	2009	Differential centrifugation
69	19812188	Rattus norvegicus	Immature dendritic cell-derived exosomes rescue septic animals via milk fat globule epidermal growth factor VIII.	Dendritic cells	cl	Bone marrow-derived immature dendritic cells	Protein	Western blotting	2009	Differential centrifugation|Sucrose density gradient
70	19812188	Rattus norvegicus	Immature dendritic cell-derived exosomes rescue septic animals via milk fat globule epidermal growth factor VIII.	Dendritic cells	cl	Bone marrow-derived mature dendritic cells	Protein	Western blotting	2009	Differential centrifugation
71	19801663	Homo sapiens	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	Melanoma cells	cl	Mel1	Protein|Lipids	Western blotting|Thin layer chromatography	2009	Differential centrifugation|Sucrose density gradient
72	19801663	Homo sapiens	Microenvironmental pH is a key factor for exosome traffic in tumor cells.	Melanoma cells	cl	Me665/1	Protein|Lipids	Western blotting|Thin layer chromatography	2009	Differential centrifugation
73	18494037	Mus musculus	Difference gel electrophoresis analysis of Ras-transformed fibroblast cell-derived exosomes.	Embryonic fibroblast cells	cl	NIH3T3	Protein	Mass spectrometry [LCQ DECA]|Western blotting	2008	Differential centrifugation
74	19381331	Homo sapiens	High levels of exosomes expressing CD63 and caveolin-1 in plasma of melanoma patients.	Melanoma cells	cl	Me501	Protein	Western blotting|ELISA|FACS	2009	Differential centrifugation
75	19381331	Homo sapiens	High levels of exosomes expressing CD63 and caveolin-1 in plasma of melanoma patients.	Plasma	ts	Plasma - melanoma	Protein	Western blotting|ELISA|FACS	2009	Differential centrifugation
76	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Bladder cancer cells	cl	HT1376	Protein	Mass spectrometry [MALDI TOF/TOF]|Western blotting|FACS	2010	Differential centrifugation|Sucrose density gradient
77	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Urine	ts	Urine - Normal	Protein	FACS	2010	Differential centrifugation|Sucrose density gradient
78	20224111	Homo sapiens	Proteomics analysis of bladder cancer exosomes.	Urine	ts	Urine - Bladder cancer	Protein	FACS	2010	Differential centrifugation|Sucrose density gradient
79	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis - Sample 1	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)
80	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis -Sample 2	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)
81	20458337	Homo sapiens	MHC class II-associated proteins in B-cell exosomes and potential functional implications for exosome biogenesis - Sample 3	B cells	cl	RN (HLA-DR15)	Protein	Mass spectrometry [FT-ICR]|Western blotting	2010	Differential centrifugation|Sucrose density gradient|Immunobeads (MHC Class II)
82	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Stomach cancer cells	cl	AZ-521	Protein|miRNA	Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation
83	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	SBC-3	Protein|miRNA	Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation
84	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	DMS-53	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation
85	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Lung cancer cells	cl	NCI-H69	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation
86	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Colorectal cancer cells	cl	SW480	miRNA	Human miRNA Microarray Kit|RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation
87	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Colorectal cancer cells	cl	SW620	miRNA	RT-PCR	2010	Differential centrifugation|Filtration|Ultracentrifugation
88	20949044	Homo sapiens	Let-7 MicroRNA Family Is Selectively Secreted into the Extracellular Environment via Exosomes in a Metastatic Gastric Cancer Cell Line	Stomach cancer cells	cl	AZ-P7a	Protein|miRNA	Immunoelectron Microscopy|Western blotting|RT-PCR|Human miRNA Microarray Kit	2010	Differential centrifugation|Filtration|Ultracentrifugation
89	20424270	Rattus norvegicus	Exosomes account for vesicle-mediated transcellular transport of activatable phospholipases and prostaglandins.	Basophilic leukemia cells	cl	RBL-2H3	Protein|Lipids	Western blotting|Gas chromatography|Thin layer chromatography|Mass spectrometry [Qstar XL]|FACS	2010	Differential centrifugation|Sucrose density gradient
90	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
91	21252909	Homo sapiens	Diacylglycerol kinase a regulates the formation and polarisation of mature multivesicular bodies involved in the secretion of Fas ligand-containing exosomes in T lymphocytes	T cells	cl	J-HM1-2.2	Protein|Lipids	Western blotting|FACS|Immunofluorescence	2011	Differential centrifugation|Ultracentrifugation
92	20124479	Rattus norvegicus	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Pancreatic adenocarcinoma cells	cl	AS	Protein|mRNA	RT-PCR|Western blotting|RatRef-12 Microarray|FACS|Mass spectrometry [MALDI TOF]	2010	Differential centrifugation|Sucrose density gradient
93	20124479	Rattus norvegicus	Cell surface tetraspanin Tspan8 contributes to molecular pathways of exosome-induced endothelial cell activation.	Pancreatic adenocarcinoma cells	cl	AS-Tspan8	Protein|mRNA	RT-PCR|Western blotting	2010	Differential centrifugation|Sucrose density gradient
94	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
95	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 1	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
96	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
97	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
98	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 2	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
99	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D2 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
100	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D4 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
101	21828046	Rattus norvegicus	The proteo-lipidic composition of exosomes changes during reticulocyte maturation.	Reticulocytes	ts	Reticulocytes - D7 Rep 3	Protein|Lipids	Mass spectrometry [QSTAR]|Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultracentrifugation|Sucrose density gradient
102	21082674	Homo sapiens	Comprehensive analysis of low-abundance proteins in human urinary exosomes using peptide ligand library technology, peptide OFFGEL fractionation and nanoHPLC-chip-MS/MS.	Urine	ts	Urine - Normal	Protein	Mass spectrometry|Immunoelectron Microscopy	2010	Differential centrifugation|Ultracentrifugation
103	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic adenocarcinoma cells	cl	Panc1	Protein	Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation
104	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic adenocarcinoma cells	cl	BxPC3	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation
105	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic adenocarcinoma cells	cl	Paca44	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation
106	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic adenocarcinoma cells	cl	MiaPaca2	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation
107	21763319	Homo sapiens	Characterization of soluble and exosomal forms of the EGFR released from pancreatic cancer cells.	Pancreatic adenocarcinoma cells	cl	A818-4	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultrafiltration|Ultracentrifugation
108	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Malignant ascites	ts	Malignant ascites - ovarian cancer	Protein|miRNA	Western blotting|Immunoelctron microscopy	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (EPCAM, CD24)
109	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Pleural effusions	ts	Pleural effusions - breast cancer	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (EPCAM)
110	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Ascites	ts	Ascites - liver cirrhosis	Protein|miRNA	Western blotting|Immunoelctron microscopy	2011	Differential centrifugation|Sucrose density gradient
111	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Serum	ts	Serum - breast cancer	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (CD24)
112	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Serum	ts	Serum - Normal	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient
