id,A_exposed,C_exposed,D_exposed,E_exposed,F_exposed,G_exposed,H_exposed,I_exposed,K_exposed,L_exposed,M_exposed,N_exposed,P_exposed,Q_exposed,R_exposed,S_exposed,T_exposed,V_exposed,W_exposed,Y_exposed
A0A075B6J6,4.0,0.0,3.0,7.0,0.0,7.0,0.0,0.0,1.0,9.0,1.0,3.0,7.0,2.0,3.0,12.0,7.0,1.0,1.0,2.0
A0A075B6J9,6.0,0.0,2.0,1.0,1.0,8.0,0.0,0.0,2.0,6.0,1.0,2.0,6.0,4.0,1.0,18.0,10.0,0.0,2.0,1.0
A0A075B6K0,4.0,1.0,2.0,6.0,1.0,7.0,0.0,1.0,3.0,7.0,2.0,0.0,7.0,3.0,2.0,15.0,6.0,0.0,1.0,2.0
A0A075B6K2,6.0,1.0,3.0,3.0,0.0,6.0,3.0,1.0,2.0,5.0,2.0,5.0,6.0,2.0,3.0,14.0,6.0,1.0,2.0,1.0
A0A075B6K4,4.0,1.0,2.0,4.0,1.0,6.0,1.0,0.0,4.0,5.0,1.0,1.0,7.0,3.0,2.0,16.0,8.0,2.0,1.0,1.0
A0A075B6K5,8.0,0.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,7.0,1.0,5.0,4.0,3.0,3.0,13.0,5.0,2.0,2.0,1.0
A0A075B6K6,3.0,1.0,6.0,1.0,3.0,8.0,3.0,2.0,2.0,6.0,2.0,1.0,6.0,3.0,2.0,18.0,4.0,3.0,1.0,1.0
A0A075B6N1,2.0,3.0,5.0,5.0,2.0,7.0,0.0,1.0,6.0,5.0,1.0,7.0,2.0,5.0,2.0,6.0,4.0,5.0,0.0,1.0
A0A075B6N2,2.0,0.0,2.0,5.0,0.0,7.0,2.0,1.0,5.0,11.0,1.0,1.0,3.0,3.0,3.0,9.0,3.0,1.0,0.0,0.0
A0A075B6N3,4.0,1.0,8.0,3.0,3.0,8.0,1.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,1.0,0.0,1.0
A0A075B6N4,2.0,1.0,4.0,8.0,2.0,7.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,0.0,5.0,7.0,7.0,3.0,0.0,4.0
A0A075B6P5,3.0,0.0,2.0,3.0,0.0,8.0,1.0,0.0,2.0,8.0,2.0,2.0,8.0,5.0,4.0,14.0,4.0,2.0,1.0,0.0
A0A075B6Q5,1.0,0.0,1.0,6.0,3.0,9.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,11.0,3.0,2.0,1.0,2.0
A0A075B6R0,6.0,0.0,2.0,6.0,1.0,7.0,0.0,2.0,4.0,4.0,1.0,6.0,2.0,5.0,3.0,11.0,3.0,2.0,2.0,2.0
A0A075B6R2,4.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,6.0,6.0,1.0,2.0,4.0,3.0,2.0,16.0,5.0,2.0,2.0,0.0
A0A075B6R9,3.0,0.0,4.0,2.0,2.0,8.0,1.0,0.0,0.0,9.0,2.0,2.0,8.0,5.0,6.0,9.0,5.0,3.0,1.0,0.0
A0A075B6S2,3.0,0.0,3.0,2.0,0.0,7.0,1.0,2.0,4.0,8.0,2.0,1.0,9.0,6.0,3.0,12.0,4.0,1.0,1.0,0.0
A0A075B6S4,1.0,0.0,2.0,2.0,1.0,7.0,1.0,1.0,3.0,7.0,2.0,2.0,7.0,5.0,5.0,14.0,3.0,3.0,1.0,1.0
A0A075B6S5,2.0,0.0,5.0,1.0,0.0,6.0,0.0,1.0,3.0,7.0,2.0,2.0,7.0,5.0,4.0,15.0,4.0,3.0,1.0,1.0
A0A075B6S6,2.0,0.0,4.0,2.0,0.0,8.0,1.0,0.0,1.0,8.0,2.0,2.0,8.0,4.0,5.0,14.0,4.0,3.0,3.0,1.0
A0A075B6S9,2.0,0.0,4.0,1.0,0.0,7.0,0.0,1.0,3.0,7.0,2.0,2.0,7.0,5.0,5.0,15.0,3.0,3.0,1.0,1.0
A0A075B6T6,1.0,0.0,4.0,5.0,0.0,6.0,0.0,2.0,5.0,6.0,1.0,4.0,3.0,7.0,3.0,11.0,1.0,3.0,3.0,1.0
A0A075B6T7,3.0,0.0,3.0,8.0,3.0,6.0,2.0,1.0,8.0,10.0,2.0,5.0,4.0,4.0,5.0,4.0,8.0,2.0,3.0,1.0
A0A075B6T8,1.0,0.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,8.0,5.0,1.0,0.0,2.0
A0A075B6U4,3.0,2.0,2.0,5.0,2.0,7.0,1.0,2.0,5.0,4.0,3.0,6.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,1.0
A0A075B6V5,3.0,1.0,2.0,7.0,1.0,4.0,1.0,3.0,8.0,7.0,2.0,2.0,2.0,2.0,1.0,9.0,5.0,3.0,2.0,0.0
A0A075B6W5,3.0,1.0,5.0,4.0,3.0,6.0,1.0,3.0,10.0,5.0,2.0,3.0,4.0,9.0,0.0,9.0,1.0,2.0,2.0,0.0
A0A075B6X5,2.0,1.0,3.0,7.0,1.0,3.0,0.0,2.0,2.0,6.0,1.0,3.0,4.0,4.0,5.0,13.0,8.0,1.0,0.0,2.0
A0A075B6Y3,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0
A0A075B6Y9,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
A0A075B706,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
A0A075B759,0.0,0.0,6.0,8.0,1.0,8.0,1.0,1.0,13.0,0.0,1.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0
A0A075B767,0.0,0.0,7.0,7.0,1.0,7.0,1.0,1.0,13.0,0.0,1.0,6.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0
A0A087WSX0,4.0,1.0,2.0,1.0,1.0,8.0,2.0,0.0,4.0,6.0,1.0,2.0,5.0,5.0,0.0,22.0,6.0,1.0,2.0,0.0
A0A087WSY4,4.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,5.0,6.0,1.0,1.0,3.0,4.0,3.0,17.0,4.0,2.0,2.0,2.0
A0A087WSY6,6.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,2.0,7.0,4.0,4.0,13.0,6.0,2.0,2.0,1.0
A0A087WSZ0,3.0,1.0,3.0,2.0,1.0,7.0,0.0,1.0,2.0,7.0,2.0,0.0,6.0,4.0,4.0,15.0,5.0,1.0,2.0,2.0
A0A087WSZ9,4.0,0.0,2.0,7.0,0.0,5.0,2.0,1.0,8.0,8.0,1.0,1.0,2.0,8.0,2.0,7.0,4.0,4.0,2.0,2.0
A0A087WT01,4.0,0.0,2.0,6.0,3.0,6.0,0.0,2.0,5.0,5.0,1.0,2.0,2.0,6.0,2.0,8.0,5.0,5.0,2.0,1.0
A0A087WT02,2.0,0.0,3.0,7.0,1.0,7.0,0.0,1.0,4.0,6.0,2.0,3.0,3.0,2.0,3.0,8.0,9.0,2.0,0.0,3.0
A0A087WT03,4.0,0.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,6.0,5.0,9.0,4.0,0.0,0.0
A0A087WTH1,7.0,1.0,1.0,10.0,1.0,2.0,2.0,5.0,4.0,6.0,1.0,1.0,3.0,1.0,8.0,3.0,1.0,2.0,3.0,1.0
A0A087WTH5,7.0,0.0,2.0,9.0,6.0,7.0,3.0,3.0,7.0,12.0,5.0,6.0,8.0,6.0,7.0,9.0,8.0,5.0,2.0,6.0
A0A087WUL8,13.0,1.0,281.0,465.0,1.0,102.0,8.0,5.0,217.0,7.0,2.0,26.0,117.0,195.0,266.0,119.0,9.0,20.0,3.0,2.0
A0A087WV53,10.0,0.0,16.0,14.0,4.0,7.0,0.0,0.0,14.0,3.0,1.0,2.0,11.0,8.0,14.0,6.0,3.0,3.0,0.0,0.0
A0A087WV62,4.0,2.0,1.0,8.0,2.0,5.0,2.0,3.0,8.0,5.0,1.0,4.0,6.0,3.0,0.0,3.0,4.0,1.0,0.0,1.0
A0A087WVF3,18.0,1.0,23.0,20.0,3.0,18.0,3.0,1.0,23.0,2.0,2.0,5.0,31.0,15.0,30.0,22.0,13.0,8.0,0.0,1.0
A0A087WW87,3.0,0.0,6.0,5.0,1.0,7.0,0.0,1.0,2.0,7.0,2.0,0.0,9.0,4.0,5.0,11.0,4.0,1.0,1.0,1.0
A0A087WWA1,4.0,0.0,1.0,0.0,2.0,9.0,2.0,3.0,1.0,4.0,4.0,3.0,11.0,5.0,17.0,3.0,4.0,1.0,1.0,2.0
A0A087WX78,40.0,2.0,18.0,24.0,4.0,33.0,8.0,1.0,20.0,12.0,6.0,8.0,31.0,23.0,26.0,31.0,9.0,9.0,1.0,2.0
A0A087WXM9,17.0,2.0,15.0,30.0,3.0,17.0,4.0,4.0,36.0,19.0,3.0,19.0,21.0,13.0,13.0,51.0,19.0,13.0,2.0,6.0
A0A087WXS9,19.0,1.0,23.0,20.0,3.0,19.0,3.0,1.0,23.0,1.0,3.0,5.0,31.0,15.0,30.0,23.0,13.0,8.0,0.0,1.0
A0A087X0M5,3.0,3.0,2.0,8.0,0.0,7.0,1.0,2.0,5.0,5.0,2.0,3.0,4.0,3.0,7.0,3.0,1.0,3.0,0.0,0.0
A0A087X179,19.0,1.0,23.0,20.0,3.0,18.0,3.0,2.0,25.0,2.0,3.0,5.0,31.0,14.0,30.0,22.0,13.0,8.0,1.0,1.0
A0A087X1C5,15.0,0.0,12.0,20.0,2.0,10.0,6.0,2.0,11.0,7.0,4.0,3.0,20.0,11.0,25.0,5.0,4.0,5.0,1.0,0.0
A0A087X1G2,19.0,1.0,23.0,20.0,3.0,18.0,3.0,1.0,25.0,2.0,2.0,5.0,30.0,14.0,29.0,22.0,12.0,8.0,0.0,1.0
A0A096LNP1,2.0,0.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,2.0
A0A096LP01,3.0,0.0,3.0,8.0,3.0,6.0,0.0,1.0,6.0,4.0,3.0,3.0,5.0,1.0,5.0,11.0,7.0,9.0,4.0,8.0
A0A096LP49,84.0,13.0,39.0,53.0,6.0,71.0,22.0,3.0,44.0,40.0,5.0,7.0,105.0,61.0,84.0,107.0,35.0,30.0,12.0,4.0
A0A096LP55,0.0,0.0,5.0,21.0,2.0,2.0,4.0,0.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,0.0,0.0
A0A096LPI5,4.0,2.0,3.0,3.0,1.0,4.0,5.0,0.0,3.0,7.0,2.0,2.0,9.0,6.0,7.0,13.0,4.0,0.0,2.0,1.0
A0A0A0MRZ7,5.0,0.0,5.0,4.0,1.0,6.0,1.0,0.0,2.0,8.0,2.0,1.0,7.0,4.0,5.0,12.0,4.0,3.0,1.0,1.0
A0A0A0MRZ8,6.0,0.0,2.0,5.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,3.0,6.0,12.0,6.0,2.0,2.0,0.0
A0A0A0MRZ9,3.0,1.0,2.0,1.0,0.0,8.0,2.0,0.0,3.0,7.0,1.0,5.0,6.0,3.0,2.0,20.0,4.0,2.0,2.0,0.0
A0A0A0MS00,6.0,0.0,3.0,3.0,0.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,7.0,5.0,3.0,9.0,5.0,3.0,1.0,0.0
A0A0A0MS14,3.0,0.0,3.0,3.0,2.0,5.0,0.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,8.0,7.0,3.0,2.0,2.0
A0A0A0MS15,3.0,0.0,2.0,6.0,2.0,12.0,0.0,1.0,6.0,4.0,1.0,1.0,2.0,3.0,4.0,8.0,5.0,2.0,1.0,2.0
A0A0A0MT36,2.0,0.0,2.0,4.0,1.0,5.0,0.0,3.0,4.0,5.0,1.0,1.0,6.0,4.0,2.0,17.0,3.0,2.0,1.0,0.0
A0A0A0MT70,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
A0A0A0MT76,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0
A0A0A0MT78,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0
A0A0A0MT89,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
A0A0A0MT94,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
A0A0A0MTA4,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
A0A0A0MTA7,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
A0A0A6YYC5,5.0,0.0,4.0,5.0,1.0,6.0,0.0,1.0,5.0,6.0,1.0,2.0,3.0,7.0,2.0,10.0,5.0,2.0,1.0,1.0
A0A0A6YYD4,4.0,2.0,7.0,4.0,1.0,6.0,1.0,2.0,4.0,9.0,3.0,1.0,6.0,5.0,5.0,10.0,3.0,2.0,1.0,2.0
A0A0A6YYG2,5.0,2.0,4.0,3.0,2.0,7.0,0.0,3.0,4.0,5.0,3.0,5.0,6.0,2.0,2.0,7.0,6.0,1.0,1.0,1.0
A0A0A6YYG3,6.0,2.0,4.0,2.0,2.0,6.0,1.0,1.0,3.0,6.0,3.0,5.0,5.0,2.0,3.0,6.0,7.0,2.0,1.0,1.0
A0A0A6YYJ7,1.0,0.0,2.0,5.0,1.0,9.0,3.0,3.0,2.0,7.0,1.0,1.0,4.0,5.0,5.0,8.0,4.0,1.0,1.0,1.0
A0A0A6YYK1,2.0,0.0,2.0,4.0,2.0,6.0,4.0,3.0,4.0,7.0,2.0,3.0,4.0,4.0,3.0,9.0,1.0,1.0,1.0,2.0
A0A0A6YYK6,1.0,0.0,1.0,6.0,3.0,4.0,1.0,5.0,7.0,4.0,1.0,2.0,5.0,4.0,6.0,7.0,5.0,2.0,0.0,1.0
A0A0A6YYK7,6.0,1.0,4.0,8.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,11.0,8.0,6.0,0.0,0.0
A0A0A6YYL3,9.0,1.0,25.0,49.0,2.0,15.0,10.0,5.0,39.0,17.0,6.0,25.0,12.0,24.0,19.0,35.0,11.0,7.0,0.0,5.0
A0A0B4J1U3,5.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,3.0,5.0,1.0,3.0,6.0,3.0,2.0,17.0,4.0,1.0,3.0,0.0
A0A0B4J1U4,4.0,0.0,3.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,4.0,2.0,6.0,10.0,4.0,2.0,3.0,1.0
A0A0B4J1U6,3.0,3.0,4.0,4.0,2.0,9.0,2.0,1.0,2.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,4.0,3.0,0.0,0.0
A0A0B4J1U7,0.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,4.0,6.0,1.0,5.0,6.0,5.0,3.0,13.0,3.0,3.0,2.0,1.0
A0A0B4J1V0,3.0,0.0,3.0,5.0,2.0,11.0,0.0,2.0,7.0,4.0,1.0,3.0,3.0,2.0,2.0,8.0,7.0,0.0,1.0,0.0
A0A0B4J1V1,2.0,0.0,1.0,5.0,1.0,9.0,0.0,1.0,4.0,5.0,1.0,3.0,2.0,2.0,5.0,11.0,2.0,2.0,1.0,3.0
A0A0B4J1V2,2.0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,7.0,7.0,1.0,3.0,4.0,1.0,1.0,11.0,11.0,2.0,1.0,1.0
A0A0B4J1V6,3.0,0.0,1.0,4.0,2.0,10.0,0.0,1.0,7.0,4.0,1.0,3.0,1.0,3.0,2.0,11.0,4.0,3.0,1.0,1.0
A0A0B4J1V7,5.0,0.0,1.0,3.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,9.0,8.0,3.0,2.0,3.0
A0A0B4J1X5,2.0,0.0,2.0,4.0,2.0,9.0,0.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,12.0,3.0,2.0,1.0,0.0
A0A0B4J1X8,0.0,0.0,5.0,4.0,2.0,10.0,0.0,1.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,9.0,4.0,4.0,1.0,2.0
A0A0B4J1Y8,2.0,0.0,3.0,2.0,1.0,12.0,1.0,1.0,3.0,11.0,1.0,3.0,6.0,2.0,2.0,14.0,7.0,3.0,1.0,0.0
A0A0B4J1Y9,2.0,0.0,2.0,6.0,2.0,8.0,0.0,1.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,11.0,5.0,3.0,1.0,1.0
A0A0B4J1Z2,4.0,1.0,2.0,1.0,2.0,6.0,0.0,1.0,3.0,6.0,2.0,0.0,7.0,4.0,5.0,15.0,5.0,2.0,2.0,2.0
A0A0B4J200,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0
A0A0B4J234,5.0,0.0,1.0,6.0,4.0,5.0,0.0,0.0,4.0,8.0,1.0,4.0,2.0,5.0,4.0,9.0,3.0,3.0,2.0,2.0
A0A0B4J235,5.0,0.0,4.0,4.0,1.0,7.0,1.0,1.0,4.0,6.0,3.0,5.0,2.0,7.0,4.0,5.0,3.0,2.0,2.0,1.0
A0A0B4J237,3.0,0.0,1.0,5.0,1.0,5.0,3.0,1.0,4.0,9.0,2.0,3.0,5.0,2.0,2.0,10.0,6.0,3.0,0.0,1.0
A0A0B4J238,3.0,0.0,2.0,6.0,3.0,9.0,1.0,1.0,5.0,3.0,4.0,3.0,0.0,5.0,1.0,4.0,6.0,2.0,1.0,1.0
A0A0B4J240,2.0,0.0,2.0,3.0,3.0,4.0,1.0,2.0,6.0,6.0,1.0,6.0,2.0,4.0,2.0,7.0,10.0,2.0,1.0,2.0
A0A0B4J241,2.0,0.0,3.0,7.0,2.0,4.0,1.0,2.0,6.0,3.0,1.0,4.0,2.0,5.0,2.0,7.0,6.0,3.0,1.0,0.0
A0A0B4J244,6.0,0.0,3.0,4.0,1.0,6.0,0.0,1.0,4.0,6.0,3.0,5.0,5.0,4.0,3.0,10.0,3.0,1.0,0.0,2.0
A0A0B4J245,3.0,1.0,4.0,5.0,0.0,4.0,0.0,2.0,4.0,7.0,1.0,5.0,3.0,5.0,5.0,9.0,3.0,3.0,3.0,0.0
A0A0B4J248,3.0,0.0,3.0,6.0,3.0,9.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,6.0,2.0,6.0,4.0,2.0,1.0,1.0
A0A0B4J249,2.0,0.0,8.0,5.0,5.0,6.0,0.0,0.0,5.0,6.0,3.0,2.0,1.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0
A0A0B4J262,2.0,0.0,1.0,6.0,3.0,4.0,1.0,2.0,1.0,7.0,1.0,3.0,5.0,5.0,3.0,10.0,5.0,3.0,0.0,1.0
A0A0B4J263,4.0,0.0,5.0,5.0,1.0,5.0,1.0,1.0,7.0,7.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0
A0A0B4J264,5.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,5.0,4.0,3.0,4.0,2.0,8.0,2.0,10.0,6.0,4.0,1.0,1.0
A0A0B4J265,3.0,0.0,3.0,6.0,0.0,3.0,2.0,3.0,3.0,5.0,3.0,6.0,4.0,2.0,5.0,8.0,6.0,3.0,0.0,0.0
A0A0B4J266,4.0,1.0,0.0,5.0,2.0,7.0,3.0,4.0,6.0,5.0,1.0,4.0,3.0,5.0,3.0,6.0,4.0,2.0,1.0,0.0
A0A0B4J268,4.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,5.0,7.0,7.0,5.0,0.0,1.0
A0A0B4J271,1.0,0.0,3.0,5.0,1.0,4.0,0.0,2.0,6.0,6.0,2.0,3.0,4.0,5.0,3.0,12.0,1.0,3.0,3.0,1.0
A0A0B4J272,3.0,1.0,3.0,8.0,2.0,4.0,2.0,2.0,7.0,6.0,1.0,5.0,5.0,3.0,0.0,8.0,4.0,1.0,1.0,1.0
A0A0B4J273,4.0,0.0,2.0,9.0,1.0,6.0,2.0,2.0,9.0,5.0,1.0,2.0,2.0,8.0,0.0,7.0,6.0,3.0,1.0,2.0
A0A0B4J274,3.0,1.0,2.0,12.0,1.0,6.0,0.0,1.0,8.0,6.0,2.0,1.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,0.0
A0A0B4J275,4.0,0.0,2.0,6.0,0.0,5.0,1.0,2.0,4.0,6.0,1.0,6.0,1.0,5.0,5.0,8.0,7.0,3.0,1.0,0.0
A0A0B4J276,3.0,0.0,1.0,4.0,0.0,6.0,3.0,2.0,6.0,6.0,4.0,3.0,2.0,9.0,2.0,4.0,7.0,2.0,1.0,2.0
A0A0B4J277,3.0,1.0,2.0,4.0,0.0,6.0,0.0,2.0,2.0,5.0,1.0,4.0,4.0,6.0,4.0,7.0,5.0,2.0,1.0,1.0
A0A0B4J279,4.0,0.0,2.0,5.0,0.0,6.0,0.0,2.0,3.0,7.0,1.0,3.0,4.0,6.0,2.0,10.0,4.0,2.0,2.0,1.0
A0A0B4J280,0.0,0.0,2.0,2.0,2.0,8.0,0.0,2.0,5.0,5.0,2.0,7.0,2.0,3.0,0.0,12.0,7.0,1.0,0.0,3.0
A0A0B4J2A2,0.0,0.0,7.0,7.0,1.0,8.0,1.0,1.0,13.0,0.0,1.0,6.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0
A0A0B4J2D5,13.0,0.0,4.0,13.0,0.0,11.0,4.0,0.0,10.0,4.0,1.0,3.0,6.0,6.0,12.0,8.0,4.0,3.0,0.0,2.0
A0A0B4J2D9,3.0,1.0,3.0,2.0,1.0,7.0,0.0,1.0,3.0,8.0,2.0,1.0,7.0,4.0,4.0,17.0,3.0,2.0,1.0,1.0
A0A0B4J2E0,3.0,3.0,5.0,5.0,1.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,6.0,3.0,4.0,1.0,0.0
A0A0B4J2F0,4.0,0.0,1.0,6.0,5.0,3.0,0.0,2.0,6.0,6.0,2.0,0.0,1.0,6.0,2.0,2.0,2.0,4.0,0.0,2.0
A0A0B4J2F2,40.0,3.0,23.0,33.0,6.0,42.0,8.0,1.0,12.0,19.0,4.0,11.0,48.0,42.0,31.0,52.0,28.0,10.0,1.0,1.0
A0A0B4J2H0,4.0,0.0,1.0,4.0,3.0,9.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,7.0,3.0,9.0,7.0,5.0,2.0,0.0
A0A0C4DH24,2.0,0.0,2.0,4.0,2.0,6.0,0.0,2.0,4.0,6.0,1.0,1.0,6.0,5.0,2.0,17.0,3.0,2.0,1.0,0.0
A0A0C4DH25,4.0,0.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,8.0,2.0,4.0,17.0,7.0,1.0,1.0,1.0
A0A0C4DH26,4.0,0.0,3.0,4.0,2.0,7.0,1.0,2.0,4.0,6.0,1.0,1.0,7.0,4.0,2.0,13.0,4.0,3.0,1.0,0.0
A0A0C4DH27,5.0,0.0,2.0,6.0,1.0,5.0,1.0,1.0,4.0,9.0,1.0,4.0,4.0,3.0,5.0,9.0,5.0,1.0,1.0,2.0
A0A0C4DH28,6.0,0.0,3.0,6.0,1.0,7.0,0.0,1.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,12.0,5.0,2.0,2.0,2.0
A0A0C4DH29,5.0,0.0,1.0,3.0,1.0,8.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,7.0,7.0,2.0,2.0,0.0
A0A0C4DH30,2.0,0.0,1.0,5.0,2.0,10.0,1.0,2.0,3.0,4.0,1.0,5.0,2.0,3.0,8.0,9.0,2.0,1.0,1.0,0.0
A0A0C4DH31,5.0,0.0,2.0,2.0,1.0,8.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,6.0,3.0,8.0,10.0,2.0,2.0,1.0
A0A0C4DH32,2.0,0.0,3.0,5.0,2.0,12.0,0.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,5.0,8.0,3.0,3.0,1.0,0.0
