ID,PTM_count,Phosphorylation_MSD,Glycosylation_MSD,Ubiquitination_MSD,SUMOylation_MSD,Acetyllysine_MSD,Palmitoylation_MSD,Hydroxylation_MSD,Methylation_MSD,Pyrrolidone_carboxylic_acid_MSD
Q8IYJ0,28,1,1,1,0,0,1,1,1,1
Q8WWW0,22,1,1,1,0,1,0,1,1,1
Q06609,11,1,0,1,0,0,0,0,1,0
O75452,14,1,1,1,0,1,0,0,0,1
Q9UBK7,17,1,1,1,1,0,0,0,1,0
Q9UKM9,28,1,1,1,1,1,0,0,1,0
A0AV96,37,1,1,1,1,1,0,1,1,0
P46060,26,1,1,1,1,1,0,0,0,1
Q96IS3,13,1,1,1,0,0,0,1,1,1
P61572,8,1,1,0,1,1,0,1,1,1
Q9BRK0,18,1,0,0,1,1,0,0,1,0
A1A4S6,46,1,1,1,1,1,0,1,0,1
P61020,20,1,1,1,1,1,1,0,1,0
Q6ZS17,180,1,1,1,1,1,0,1,1,1
P15927,14,1,1,1,0,0,0,0,0,0
P62888,6,1,0,0,0,1,0,0,1,0
Q9P015,14,1,0,1,0,1,0,0,1,0
Q9HAT0,7,1,1,1,0,0,1,0,0,1
Q9Y6N7,127,1,1,1,1,1,0,1,1,1
Q13151,34,1,1,1,1,1,0,1,1,0
P60602,3,0,0,0,0,0,1,1,1,0
Q13464,67,1,1,1,1,1,0,0,1,0
Q9P1U0,2,1,0,0,0,0,1,0,0,0
Q3B726,26,1,1,0,0,0,1,1,0,0
Q9NV58,62,1,1,1,0,1,0,1,1,1
P78346,12,1,0,1,1,1,1,1,0,0
Q9BUL9,22,1,1,1,0,0,0,1,1,1
Q8N6L0,30,1,1,1,0,0,0,1,0,1
Q8IUC0,12,1,1,0,0,0,1,1,1,0
P60368,35,0,1,0,0,0,1,1,0,0
P43629,35,1,1,1,0,1,1,1,1,0
Q6P1M3,38,1,1,1,1,1,0,1,1,0
O14910,15,1,1,1,0,0,0,0,1,0
Q6ZMV7,41,1,1,1,1,1,1,0,1,0
P31025,14,1,0,1,0,1,0,1,1,0
Q6UWP7,7,1,0,1,1,1,0,0,0,0
P48163,24,1,1,1,0,1,0,1,1,1
O60942,29,1,1,1,0,1,0,1,1,0
A0A075B6I0,8,1,1,1,0,0,0,0,1,1
Q8IW41,27,1,1,1,1,1,0,0,1,0
Q5TCX8,101,1,1,1,0,1,0,1,1,1
Q86YJ5,26,1,1,1,0,1,0,1,1,1
Q8NFP4,53,1,1,1,1,1,0,1,1,1
Q7KZI7,90,1,1,1,0,1,0,0,1,0
Q68D85,38,1,1,0,1,1,1,0,1,0
Q96KX0,1,0,0,0,0,0,0,0,1,0
Q9NXC5,30,1,1,1,0,1,0,1,1,0
Q96PC5,110,1,1,1,1,1,0,1,1,0
Q96MC6,12,1,1,1,0,0,0,0,1,1
Q09327,25,1,1,1,0,1,1,1,1,1
Q86XE3,25,1,1,1,1,1,1,0,1,1
Q9Y605,3,1,1,0,1,0,0,0,0,0
Q96H12,14,1,0,0,1,1,0,0,0,1
O95563,5,1,1,1,0,1,0,0,1,0
P49006,42,1,1,1,1,0,0,1,1,1
Q14149,58,1,1,1,1,1,0,1,1,1
Q9NV56,18,1,1,1,1,1,0,1,0,0
Q8TDS7,13,1,1,0,0,0,0,1,0,1
Q8N5Y2,48,1,1,1,1,1,0,0,0,1
O96033,5,1,0,0,0,1,1,1,0,1
Q8NCK7,17,1,1,0,0,0,0,1,1,0
Q99551,16,1,1,0,1,1,1,0,0,1
B1AL46,66,1,1,1,1,0,1,1,1,1
Q8NGS3,4,1,1,0,0,0,1,0,0,1
P03886,4,0,1,0,0,0,0,0,0,0
O95006,5,0,1,1,0,1,0,0,0,1
A6NHN0,48,1,1,1,1,1,0,1,1,1
Q8WV22,7,1,1,1,0,1,0,0,0,1
Q96R09,5,0,1,1,0,1,1,0,0,1
Q8NGA0,5,1,1,0,0,0,0,0,1,1
Q8NH18,4,0,1,0,0,0,1,0,1,1
Q8NGK1,5,0,1,0,0,1,1,0,0,1
Q8NH55,3,1,1,0,0,0,0,0,0,0
Q8NGZ0,8,1,1,0,0,0,1,0,0,1
Q8NGR1,6,1,1,1,0,0,0,0,1,0
Q96SU4,48,1,1,1,1,1,0,0,0,1
Q8WWB5,15,1,1,1,1,1,1,0,0,1
Q9NRD5,18,1,1,1,1,1,1,1,0,0
P50542,32,1,1,1,0,1,0,0,1,1
O14494,8,1,1,0,0,1,0,0,1,0
P55058,32,1,1,1,1,0,0,1,0,1
Q9UIG5,13,1,1,1,0,0,1,0,1,1
P23469,27,1,1,1,1,1,0,0,1,1
O95456,16,1,0,1,0,1,1,0,0,1
Q9Y3U8,4,1,1,0,0,1,0,0,1,0
Q969G2,34,1,1,1,1,1,1,1,1,1
A8MVA2,31,1,1,0,0,0,1,1,0,0
P58180,1,0,1,0,0,0,0,0,0,0
Q8NGP3,4,0,1,1,0,0,0,0,1,0
P0DN80,2,0,1,1,0,0,0,0,0,0
Q99623,22,1,1,1,0,1,0,0,1,1
O43688,8,1,1,0,1,0,0,0,1,1
P63132,42,1,1,1,1,1,1,1,1,0
Q9Y3C6,9,1,1,1,0,1,0,0,1,0
P20264,44,1,1,1,0,0,0,1,1,1
O00764,14,1,1,1,0,1,1,0,0,1
P11086,12,1,1,1,0,1,0,1,1,0
Q9P212,135,1,1,1,1,1,1,1,1,0
Q8NI37,8,1,0,0,0,1,1,0,1,0
Q00889,15,1,1,0,0,1,0,0,1,1
O95997,26,1,0,1,1,1,1,1,1,0
Q13332,85,1,1,1,1,1,0,0,1,1
P0DJH9,10,1,1,0,1,0,0,1,0,0
Q9HBD1,96,1,1,1,1,1,0,1,1,1
Q9UL26,12,1,1,1,0,1,1,1,1,1
Q9H2T7,23,1,1,0,1,1,1,0,1,0
Q6IQ22,19,1,0,1,0,0,1,1,1,1
P61019,10,1,1,1,1,0,1,0,1,0
Q7Z6E9,216,1,1,1,1,1,1,1,1,1
Q9NS91,42,1,1,1,0,1,0,1,0,0
P61006,12,1,1,1,1,1,0,0,1,1
Q68EM7,101,1,1,1,1,1,0,1,1,0
Q9NWB1,32,1,1,0,0,0,1,1,1,0
Q6PCD5,32,1,1,1,1,1,0,0,1,0
P35250,11,1,1,1,0,1,1,0,0,0
P50120,7,1,1,1,0,0,1,0,0,0
Q9BZI7,50,1,1,1,1,1,0,0,1,1
Q9H920,6,1,0,0,1,0,0,0,0,1
Q9Y508,8,1,0,1,0,1,1,0,0,1
Q96MT1,22,1,1,1,1,1,1,0,1,1
P36578,33,1,1,1,1,1,1,1,1,1
P12271,7,1,1,1,1,0,0,0,0,0
Q68DV7,55,1,1,1,1,0,1,1,1,1
P47736,73,1,1,1,1,1,1,1,1,0
P14678,50,1,1,0,0,1,0,1,1,1
P62081,8,1,1,1,1,1,0,0,0,0
P82650,19,1,0,1,1,1,0,0,0,0
Q8N4F4,10,1,1,1,1,0,1,0,0,0
Q8TBP6,5,1,1,1,0,0,0,0,0,0
O95156,18,1,1,1,0,1,0,0,0,0
Q8N146,3,1,1,0,0,0,0,0,0,0
Q9UKK6,5,1,0,0,1,1,1,0,0,0
P0C628,1,0,1,0,0,0,0,0,0,0
Q8NGK0,3,0,1,0,1,0,1,0,0,0
Q6ZVC0,90,1,1,1,1,1,0,1,1,1
Q96R47,5,1,1,1,0,1,0,0,0,1
Q8NGN4,4,1,0,1,0,0,0,0,1,0
Q8NH73,6,1,1,1,0,0,1,0,1,1
Q9ULC6,26,1,1,1,1,1,1,1,1,0
Q9Y5G2,42,1,1,1,1,1,1,0,1,1
P0DN26,16,1,1,1,1,1,0,0,1,0
Q4G0U5,37,1,1,1,1,1,0,0,0,1
Q8IY49,2,0,0,1,0,1,0,0,0,0
O95263,61,1,1,1,1,1,1,1,1,1
P51160,26,1,1,1,1,1,0,0,1,1
Q9NPG4,59,1,1,1,0,1,1,1,1,1
Q9Y5E2,22,1,1,1,1,0,1,0,0,0
O15350,50,1,1,1,0,1,0,1,1,1
Q15120,18,1,1,1,0,1,0,0,0,0
P23219,17,1,1,1,1,1,0,1,1,0
Q9UKK3,92,1,1,1,1,1,1,1,1,1
Q86V59,32,1,1,1,1,1,0,1,1,0
O43316,31,1,1,1,1,0,0,1,1,1
Q8N4L2,17,1,1,0,0,0,1,1,0,0
Q15124,24,1,1,1,0,1,0,1,1,1
Q8N414,28,1,1,1,0,1,1,1,1,0
P15309,12,1,1,0,0,1,0,0,0,1
Q9P1A2,15,1,1,1,0,1,0,0,0,0
Q13401,8,1,1,1,0,0,0,0,0,0
Q96BZ4,35,1,1,1,0,1,1,1,1,1
P40967,48,1,1,0,0,0,0,1,1,1
O15297,50,1,1,1,0,1,1,1,0,1
Q02325,4,1,0,0,0,0,0,0,1,0
P26678,4,1,0,0,0,1,1,0,0,0
P13796,34,1,1,1,1,1,1,0,0,0
O14818,12,1,1,1,0,1,0,0,1,1
P27918,27,1,1,1,0,0,1,1,0,1
Q8N8Z3,21,1,1,1,0,0,0,0,1,0
Q13046,17,1,1,0,0,1,0,0,1,1
O75832,8,1,0,1,0,1,1,0,0,0
Q15262,49,1,1,1,1,1,0,0,0,1
Q59GN2,1,0,0,0,0,1,0,0,0,0
A8MTL3,37,1,0,0,0,1,1,0,1,0
Q6NUJ5,53,1,1,1,1,0,1,1,1,1
P01116,11,1,1,1,0,1,1,1,1,0
P48304,11,1,1,0,0,1,1,0,0,1
Q69383,8,1,1,0,1,1,0,1,1,1
P04090,13,1,0,0,0,0,1,0,0,1
Q5U651,77,1,1,1,0,1,1,1,1,1
Q15291,36,1,1,1,1,1,0,0,0,1
Q9NYW8,23,1,1,1,1,0,0,0,1,0
P0C0E4,18,1,1,1,0,1,1,1,0,1
Q13123,38,1,1,1,1,1,0,1,0,1
Q7Z6P3,85,1,1,1,0,0,1,1,1,1
Q53QZ3,33,1,1,1,0,1,0,0,1,1
Q96IC2,24,1,1,1,1,1,1,1,1,1
O14827,77,1,1,1,1,1,1,0,1,1
Q9H0H5,53,1,1,1,1,1,1,0,1,1
Q5W5W9,21,1,1,0,1,1,1,1,0,0
P10745,41,1,1,1,1,0,0,0,1,1
P52758,2,1,0,0,0,1,0,0,0,0
Q96L33,9,1,1,1,0,0,1,0,0,1
P18621,9,1,1,0,0,1,0,0,1,0
Q96EL3,5,1,1,1,0,0,0,1,0,0
P62945,2,1,0,0,0,0,0,1,0,0
O15514,8,1,1,1,0,0,0,0,0,0
Q8NGI6,5,1,1,0,0,1,1,0,0,1
Q8NGP0,3,0,1,0,0,0,1,0,0,0
Q8NGV6,5,1,1,1,0,0,1,0,0,0
P48739,17,1,1,1,1,1,1,0,1,0
O00264,16,1,1,1,1,1,0,0,0,1
Q5SV97,109,1,1,1,1,0,0,1,1,1
O15428,7,1,1,1,0,1,0,1,1,0
Q6NUP7,38,1,1,1,1,1,1,1,1,1
Q6XQN6,15,1,0,1,0,0,1,0,1,1
Q9H792,175,1,1,1,1,1,1,1,1,0
Q8N7P1,30,1,1,1,0,1,1,0,0,1
Q5VZY2,10,1,1,0,1,0,0,0,0,1
Q9Y244,8,1,1,1,1,0,0,0,0,0
Q9P0L9,42,1,1,1,1,1,1,1,0,1
Q0VAA5,20,1,1,1,0,0,0,1,1,0
Q86YW0,14,1,1,1,1,1,0,0,0,0
Q9NRZ7,10,1,0,1,0,1,0,0,0,1
Q3B8N5,35,1,1,1,1,0,0,1,1,0
Q8N271,37,1,1,1,1,0,1,1,0,1
P21108,16,1,1,0,0,0,1,1,1,0
P28072,9,1,1,1,0,1,0,0,1,1
Q9BRX5,7,1,0,0,1,0,0,0,0,0
O00232,22,1,1,1,1,1,0,0,0,1
Q9Y3L5,8,1,1,1,0,0,1,0,1,1
Q6UW15,12,1,0,0,0,1,1,1,0,1
A0A1B0GV85,33,1,1,1,0,1,0,0,1,0
Q9P260,73,1,1,1,1,1,1,1,1,1
Q7Z6M1,28,1,1,1,0,1,1,1,1,1
Q14964,12,1,0,1,0,1,1,0,0,1
Q6ZRY4,21,1,1,1,0,1,1,0,0,1
P20339,23,1,1,1,1,1,1,1,1,0
O14559,126,1,1,1,0,0,0,1,1,1
A6NI28,68,1,1,1,1,1,0,1,1,0
Q96EV2,117,1,1,1,1,0,0,1,1,1
O14924,131,1,1,1,1,1,1,1,1,1
O94955,18,1,1,1,1,1,1,1,0,1
Q92963,13,1,1,1,0,1,1,1,0,0
Q96L21,15,1,0,1,0,1,1,1,1,0
Q96DV4,24,1,1,1,0,0,1,1,0,1
Q7L0R7,37,1,1,1,0,0,0,1,1,0
Q969K3,30,1,1,1,0,0,1,0,1,0
Q96GF1,20,1,1,1,0,0,1,1,1,1
Q96T23,162,1,1,1,1,1,1,1,1,1
Q9NPB1,13,1,1,1,0,1,1,0,1,0
Q9NZP2,6,1,1,0,1,1,0,0,1,0
Q8NGR9,7,1,1,0,0,1,0,0,0,1
Q8NGL3,6,1,1,1,0,1,0,0,0,1
P47883,10,1,1,0,0,1,1,1,0,1
Q9P121,21,1,1,1,1,1,1,0,0,0
Q13492,54,1,1,1,0,1,0,1,1,1
P78356,29,1,1,1,0,1,1,0,1,0
Q8TCD6,5,0,1,0,1,1,0,0,0,0
Q9BSJ6,30,1,0,1,0,1,0,0,1,0
Q5SRE7,17,1,1,1,0,0,1,0,0,0
E7EU14,7,1,1,1,0,0,0,0,0,0
O60486,77,1,1,1,1,1,1,0,1,0
P16112,110,1,1,1,0,1,0,1,1,0
P30086,18,1,1,1,1,0,0,0,1,0
Q8IXQ8,21,1,1,1,1,0,0,0,1,1
O15031,74,1,1,1,1,1,1,1,1,1
O95744,16,1,1,0,1,1,0,1,0,0
Q8TCS8,45,1,1,1,1,1,1,1,1,0
Q9UG56,17,1,1,1,0,1,1,0,1,1
Q8NG27,91,1,1,1,1,0,1,1,1,1
Q6MZQ0,24,1,1,1,1,1,0,0,1,0
Q15147,47,1,1,1,1,1,0,0,0,1
Q86WR7,55,1,1,1,1,1,1,1,1,0
Q6ZRP0,22,1,1,0,0,0,1,1,1,0
O75360,25,1,1,1,0,0,0,1,1,1
B1ATL7,17,1,1,1,0,1,1,1,1,0
P79522,25,1,1,1,0,0,0,1,1,1
O60828,21,1,0,1,1,0,0,1,0,1
Q9NQV6,51,1,1,1,1,1,1,1,1,0
Q5VV67,187,1,1,1,1,1,0,1,1,1
P57071,92,1,1,1,1,1,1,1,1,1
Q9NYI0,75,1,1,1,1,1,0,1,0,0
P22234,16,1,1,1,1,1,1,0,0,0
Q96A99,29,1,1,1,0,0,1,1,0,1
Q06323,11,1,1,1,1,1,0,0,0,0
A0A096LP55,9,1,0,1,0,1,0,0,0,1
Q14644,29,1,1,1,1,1,0,1,1,1
O14807,6,1,1,0,1,0,0,0,0,0
Q15415,62,1,1,1,1,1,0,1,1,0
P04808,16,1,1,0,0,0,1,0,0,1
P61574,7,1,1,0,1,1,0,1,1,1
Q96S59,71,1,1,1,0,1,0,1,0,1
Q9NX57,18,1,1,1,0,1,1,1,1,1
Q9UNA1,52,1,1,1,0,1,1,1,0,0
O75677,17,1,1,1,0,0,1,1,0,1
P49796,78,1,1,1,1,1,1,1,1,1
Q9UFD9,115,1,1,1,1,1,0,1,1,1
Q8NFH8,75,1,1,1,1,1,0,1,1,0
Q9BYD3,21,1,1,1,1,1,0,1,1,1
O75792,19,1,1,1,1,0,0,0,0,0
Q6ZMZ0,62,1,1,1,1,0,0,1,1,0
P07998,11,1,1,0,0,0,0,0,0,1
Q86VF7,126,1,1,1,0,1,1,1,1,1
Q8NGN1,4,1,1,0,0,1,0,0,0,1
Q9GZY6,27,1,1,1,0,1,1,1,0,0
Q8NH64,6,0,1,1,1,1,1,0,0,0
A6NHA9,2,0,1,0,0,0,1,0,0,0
Q9H255,6,0,1,1,0,1,1,0,1,0
P78380,15,1,1,1,0,1,1,0,0,1
Q9H341,5,0,1,1,0,0,0,0,1,1
Q8IWE2,35,1,1,1,0,1,0,0,0,0
Q86UW2,9,1,1,1,0,0,0,0,0,1
Q8NGF3,5,0,0,0,0,0,1,0,1,1
Q8N2R0,20,1,1,1,0,1,0,0,1,0
P56373,22,1,1,1,0,1,1,0,0,0
Q8NGI3,8,0,1,1,0,1,0,0,0,1
Q8TCB6,6,1,1,0,0,0,0,0,1,1
A6NIJ9,6,1,1,0,0,1,1,0,0,0
P02818,6,0,0,1,0,1,1,1,0,1
A6ND48,4,1,1,0,0,0,0,0,0,1
Q8NGF9,1,0,1,0,0,0,0,0,0,0
Q9HBE1,43,1,1,1,0,1,1,1,1,1
Q92535,7,1,1,1,1,1,0,0,0,1
Q8N6C7,6,1,1,0,0,1,1,0,1,0
Q02962,39,1,1,1,0,1,1,1,1,1
Q9Y6X2,39,1,1,1,1,1,1,1,0,0
Q14863,25,1,1,1,1,1,0,1,0,1
Q6P3X8,26,1,1,1,0,1,1,0,1,1
P20618,15,1,1,1,0,1,0,0,1,0
P60673,6,1,1,1,0,1,1,0,1,0
Q99946,34,1,1,0,0,0,0,1,1,1
Q16849,66,1,1,1,1,1,1,1,0,1
P10586,93,1,1,1,0,1,0,1,1,1
Q15008,5,1,0,1,0,1,0,0,0,0
P11217,34,1,1,1,1,1,0,1,1,1
P06737,43,1,1,1,1,1,0,0,1,1
A1KZ92,69,1,1,1,1,1,1,1,1,1
P18754,15,1,1,1,1,1,0,1,1,0
Q15293,14,1,1,1,1,0,0,0,1,0
Q15382,12,1,1,1,0,1,0,1,1,1
O14966,10,1,1,1,0,0,1,0,0,0
Q15771,8,1,1,0,0,0,1,0,0,0
Q17R89,70,1,1,1,1,1,0,1,1,1
P51149,11,1,0,1,1,0,1,0,1,1
Q5JT25,10,1,1,1,0,0,1,0,0,1
P0DJD1,151,1,1,1,1,1,0,1,1,1
Q6ZWI9,5,1,0,0,0,1,0,0,1,1
Q5UIP0,203,1,1,1,1,1,1,1,1,1
P26373,20,1,1,0,0,1,0,1,1,1
P61353,4,0,0,0,1,1,0,0,1,0
Q9Y535,14,1,1,0,1,0,0,0,0,0
Q9UHV5,31,1,1,0,1,1,1,1,1,1
A6NCQ9,13,1,0,0,0,0,1,0,0,0
P32242,25,1,1,1,0,0,0,1,1,1
Q15620,2,0,1,1,0,0,0,0,0,0
O00628,6,1,1,1,0,0,1,0,0,0
Q6UXB8,46,1,1,1,0,0,1,1,1,1
Q96RG2,54,1,1,1,1,1,1,1,1,1
Q9NQ66,84,1,1,1,1,1,0,1,0,1
Q99633,15,1,1,1,1,1,1,1,0,1
Q92786,61,1,1,1,1,1,0,0,1,1
Q86XR5,30,1,1,1,0,0,1,1,0,1
Q96QR8,24,1,0,1,1,1,0,1,1,0
P06401,68,1,1,1,1,1,0,1,1,1
O15067,45,1,1,1,0,1,1,1,1,1
Q14914,13,1,1,1,0,1,0,0,1,0
Q9UMZ3,138,1,1,1,1,1,0,0,1,1
P35236,17,1,1,1,0,0,0,0,1,1
P01270,8,1,0,1,0,1,0,0,1,0
Q6ISU1,19,1,1,1,0,0,1,0,0,0
Q3MIT2,20,1,1,1,1,1,0,1,0,0
Q2TAK8,62,1,1,1,0,1,1,1,1,0
Q7Z4M0,10,1,1,1,0,0,1,0,0,1
Q9H6Z4,67,1,1,1,1,1,0,1,1,0
P60763,10,1,1,1,0,0,1,1,1,1
Q9NRW1,14,1,1,1,1,1,1,1,0,1
Q9GZR2,41,1,1,1,1,1,1,1,1,0
Q6ZVN8,32,1,1,1,0,1,1,1,1,1
Q7Z5H3,54,1,1,1,0,1,0,1,1,1
P41220,17,1,1,1,1,1,1,0,0,1
P48378,41,1,1,0,1,1,0,1,1,1
A6NFN3,36,1,1,0,0,0,0,1,1,1
O00212,6,1,0,0,0,0,1,1,0,1
Q6BDI9,8,1,0,1,0,1,0,0,0,1
P61586,6,1,0,0,1,0,0,0,1,0
Q6NUM9,17,1,1,1,1,1,0,0,1,1
Q9BWE0,38,1,1,1,0,1,1,1,1,1
P61254,13,1,1,1,0,1,0,0,0,0
Q9BYC8,7,1,1,1,0,0,0,1,0,0
Q9BYD6,16,1,1,1,1,1,1,0,0,1
Q15070,19,1,1,1,0,1,1,0,1,0
Q96R48,3,1,1,0,0,0,0,0,1,0
Q8NGG7,6,1,1,1,0,0,1,1,0,0
O76000,6,1,1,0,0,0,1,1,0,1
O00168,8,1,0,0,1,0,1,0,0,0
Q13670,23,1,1,1,0,1,0,1,1,0
Q96Q06,44,1,1,1,0,1,0,1,1,1
P53041,17,1,1,1,1,1,0,1,0,0
O75817,6,1,1,0,0,0,0,0,0,0
O43660,24,1,1,1,0,1,0,0,1,0
Q8NEB9,44,1,1,1,1,1,1,0,0,0
P16298,28,1,1,1,1,1,0,1,1,0
Q15435,15,1,1,0,0,1,0,0,1,0
Q99943,15,1,1,1,1,1,1,1,1,1
Q9NWT1,11,1,0,1,1,0,0,0,0,1
P81277,9,1,0,1,0,0,0,0,1,0
Q7Z5A4,15,1,1,0,0,1,1,0,1,1
Q8IV56,11,1,0,0,0,0,0,1,0,0
Q9NRI7,3,0,0,0,0,0,1,0,0,0
A8MZF0,41,1,1,1,0,0,0,1,0,1
Q99436,13,1,1,1,0,1,0,1,1,0
Q9BXM0,96,1,1,1,1,1,0,1,1,0
Q9NQV8,73,1,1,1,1,0,1,1,1,1
Q96I23,8,1,1,1,1,0,1,1,0,0
Q13635,66,1,1,1,0,1,1,1,1,1
Q13882,24,1,1,1,1,0,0,0,1,1
Q9Y272,15,1,1,0,1,0,1,0,1,0
Q92698,46,1,1,1,1,1,1,1,1,1
Q8IZ40,68,1,1,1,1,1,0,1,1,1
Q9NW64,33,1,1,1,0,1,0,1,1,1
Q13972,83,1,1,1,1,1,1,1,1,1
Q9NS28,14,1,0,1,1,1,1,0,0,0
Q9BWJ2,4,1,0,0,0,0,0,1,0,0
Q8WZ73,31,1,1,0,0,0,1,1,0,1
Q9UBD6,16,1,1,0,0,0,1,1,0,1
O43566,57,1,1,1,1,0,1,1,1,1
Q9BSD3,22,1,1,1,1,1,0,1,1,1
Q5TAB7,12,1,1,1,1,0,0,0,0,0
A6NNM3,116,1,1,1,1,1,1,1,1,1
Q8TEB7,27,1,1,1,0,1,1,1,1,0
P36954,3,1,0,0,0,0,0,1,0,0
Q9NW08,34,1,1,1,1,1,0,0,1,1
O15446,41,1,1,1,1,0,0,0,1,1
O15318,22,1,0,1,1,1,0,0,1,1
Q5GAN4,4,1,1,0,0,0,0,0,1,0
Q6ZRF8,21,1,1,1,1,1,1,1,0,0
Q9Y3C5,14,1,1,0,0,0,1,0,1,0
Q07001,15,1,1,1,1,1,0,0,0,0
Q9Y615,19,1,1,1,0,1,1,1,0,1
P41595,19,1,1,1,0,1,1,0,0,1
Q15172,25,1,1,0,0,1,0,1,0,0
