ID,PTM_count,Phosphorylation,Glycosylation,Ubiquitination,SUMOylation,Acetyllysine,Palmitoylation,Hydroxylation,Methylation,Pyrrolidone_carboxylic_acid
Q9Y2P8,15,3,5,0,1,3,0,0,2,1
A4D1S5,4,1,0,0,0,0,1,1,0,1
P61106,14,3,2,2,0,0,2,3,2,0
O95716,15,3,3,2,0,1,2,3,1,0
Q8N4Z0,10,4,1,1,0,0,2,2,0,0
P49795,37,18,2,1,0,0,8,5,1,2
Q7L0Q8,15,1,3,1,0,0,2,1,6,1
Q9BQ08,9,5,0,0,0,0,1,2,0,1
Q9HB40,13,2,4,5,0,1,1,0,0,0
Q8NHV9,4,1,0,0,0,1,1,0,0,1
P07949,73,41,18,1,1,6,2,2,2,0
Q8TAC1,8,3,1,3,0,0,0,0,0,1
Q9UJD0,31,23,1,1,0,0,1,3,0,2
P50914,17,2,0,3,3,4,0,4,1,0
Q969Q0,7,2,0,1,0,1,2,1,0,0
Q9NSD7,27,7,7,4,0,2,0,1,4,2
Q9HCK4,85,36,28,4,2,6,0,3,4,2
Q9H1D9,12,5,1,3,1,0,0,0,2,0
P35372,22,6,9,0,0,0,1,5,0,1
O14581,11,1,9,0,0,1,0,0,0,0
Q99489,9,3,1,1,1,0,0,1,1,1
Q8NGM8,3,0,3,0,0,0,0,0,0,0
Q9GZK6,4,1,1,0,0,0,0,0,1,1
Q149M9,50,20,6,3,2,7,2,2,3,5
Q8NGE7,5,0,2,0,0,1,0,0,2,0
Q6N063,12,4,1,2,0,0,2,1,1,1
O95158,21,5,4,1,0,2,0,3,4,2
A6NMZ5,1,0,1,0,0,0,0,0,0,0
Q8NGL6,9,4,2,0,0,2,0,0,0,1
Q8NGC8,4,0,2,0,0,1,1,0,0,0
Q06190,76,47,13,3,4,4,1,1,2,1
A6NJZ3,6,1,3,1,0,0,0,0,0,1
Q3SX64,46,25,4,1,0,0,3,4,9,0
P00480,19,6,3,4,0,6,0,0,0,0
Q9NVV4,27,10,9,3,0,4,1,0,0,0
Q9NPH6,10,5,0,0,0,4,0,0,1,0
Q8NDF8,53,21,13,6,2,5,1,3,2,0
P0DN37,15,4,2,1,1,6,0,0,1,0
O15381,60,33,7,8,4,5,0,0,2,1
A8MZH6,2,0,0,0,0,0,2,0,0,0
Q8NGH7,2,0,1,0,0,0,0,0,0,1
O95340,24,10,4,2,1,1,0,1,4,1
Q6ZVX9,12,1,5,1,0,0,1,3,1,0
P57723,24,8,10,3,0,0,0,0,2,1
Q8TEZ7,8,5,0,0,0,0,2,1,0,0
Q460N5,76,24,23,15,8,5,0,0,0,1
Q96QU1,153,45,44,8,3,9,0,39,2,3
Q6P474,11,7,0,2,1,1,0,0,0,0
P13667,33,10,1,12,5,2,0,0,3,0
P09466,7,0,3,1,0,0,1,0,0,2
Q13087,15,3,6,1,2,0,1,0,0,2
Q15084,23,13,1,4,0,2,0,0,3,0
Q53GL7,45,27,10,4,0,0,0,1,2,1
Q5MIZ7,46,19,18,2,2,3,0,2,0,0
A4QPH2,30,11,5,5,0,4,0,2,1,2
Q92561,14,4,2,0,1,1,2,1,3,0
Q8IYJ0,28,13,2,1,0,0,1,6,3,2
Q8WWW0,22,10,3,3,0,1,0,2,1,2
Q06609,11,6,0,2,0,0,0,0,3,0
O75452,14,5,2,3,0,3,0,0,0,1
Q9UBK7,17,8,4,2,1,0,0,0,2,0
Q9UKM9,28,10,8,4,1,3,0,0,2,0
A0AV96,37,10,9,6,1,2,0,6,3,0
P46060,26,10,3,8,2,2,0,0,0,1
Q96IS3,13,5,1,2,0,0,0,2,2,1
P61572,8,1,2,0,1,1,0,1,1,1
Q9BRK0,18,13,0,0,1,3,0,0,1,0
A1A4S6,46,19,14,3,2,6,0,1,0,1
P61020,20,5,5,3,1,2,2,0,2,0
Q6ZS17,180,72,89,5,1,1,0,6,4,2
P15927,14,9,3,2,0,0,0,0,0,0
P62888,6,4,0,0,0,1,0,0,1,0
Q9P015,14,3,0,5,0,4,0,0,2,0
Q9HAT0,7,2,2,1,0,0,1,0,0,1
Q9Y6N7,127,45,44,11,6,4,0,7,6,4
Q13151,34,16,3,3,1,2,0,1,8,0
P60602,3,0,0,0,0,0,1,1,1,0
Q13464,67,35,5,9,7,8,0,0,3,0
Q9P1U0,2,1,0,0,0,0,1,0,0,0
Q3B726,26,18,4,0,0,0,2,2,0,0
Q9NV58,62,40,12,1,0,3,0,4,1,1
P78346,12,3,0,1,4,2,1,1,0,0
Q9BUL9,22,10,2,1,0,0,0,7,1,1
Q8N6L0,30,12,6,7,0,0,0,1,0,4
Q8IUC0,12,2,2,0,0,0,2,4,2,0
P60368,35,0,3,0,0,0,6,26,0,0
P43629,35,14,11,4,0,1,2,1,2,0
Q6P1M3,38,23,3,3,1,2,0,2,4,0
O14910,15,4,7,3,0,0,0,0,1,0
Q6ZMV7,41,17,8,8,2,2,1,0,3,0
P31025,14,6,0,4,0,2,0,1,1,0
Q6UWP7,7,3,0,1,1,2,0,0,0,0
P48163,24,6,2,8,0,4,0,1,1,2
O60942,29,9,5,3,0,5,0,6,1,0
A0A075B6I0,8,3,1,1,0,0,0,0,2,1
Q8IW41,27,15,4,2,3,2,0,0,1,0
Q5TCX8,101,55,25,4,0,2,0,11,2,2
Q86YJ5,26,8,4,1,0,1,0,5,5,2
Q8NFP4,53,16,20,6,1,4,0,1,2,3
Q7KZI7,90,52,22,7,0,5,0,0,4,0
Q68D85,38,13,17,0,2,2,1,0,3,0
Q96KX0,1,0,0,0,0,0,0,0,1,0
Q9NXC5,30,13,4,6,0,5,0,1,1,0
Q96PC5,110,60,11,15,2,6,0,6,10,0
Q96MC6,12,3,2,1,0,0,0,0,4,2
Q09327,25,9,4,4,0,2,1,2,2,1
Q86XE3,25,11,4,2,2,2,1,0,2,1
Q9Y605,3,1,1,0,1,0,0,0,0,0
Q96H12,14,8,0,0,1,3,0,0,0,2
O95563,5,1,1,1,0,1,0,0,1,0
P49006,42,26,4,6,2,0,0,2,1,1
Q14149,58,26,6,5,5,8,0,2,3,3
Q9NV56,18,11,2,1,1,1,0,2,0,0
Q8TDS7,13,5,5,0,0,0,0,1,0,2
Q8N5Y2,48,29,6,1,1,9,0,0,0,2
O96033,5,1,0,0,0,1,1,1,0,1
Q8NCK7,17,5,3,0,0,0,0,5,4,0
Q99551,16,6,4,0,1,2,1,0,0,2
B1AL46,66,36,9,7,1,0,2,6,3,2
Q8NGS3,4,1,1,0,0,0,1,0,0,1
P03886,4,0,4,0,0,0,0,0,0,0
O95006,5,0,1,1,0,2,0,0,0,1
A6NHN0,48,8,4,9,6,5,0,10,5,1
Q8WV22,7,2,2,1,0,1,0,0,0,1
Q96R09,5,0,1,1,0,1,1,0,0,1
Q8NGA0,5,1,2,0,0,0,0,0,1,1
Q8NH18,4,0,1,0,0,0,1,0,1,1
Q8NGK1,5,0,1,0,0,1,1,0,0,2
Q8NH55,3,1,2,0,0,0,0,0,0,0
Q8NGZ0,8,1,3,0,0,0,3,0,0,1
Q8NGR1,6,2,2,1,0,0,0,0,1,0
Q96SU4,48,26,13,6,1,1,0,0,0,1
Q8WWB5,15,1,6,1,3,2,1,0,0,1
Q9NRD5,18,7,2,1,2,4,1,1,0,0
P50542,32,16,6,5,0,2,0,0,1,2
O14494,8,1,5,0,0,1,0,0,1,0
P55058,32,8,13,3,2,0,0,5,0,1
Q9UIG5,13,8,1,1,0,0,1,0,1,1
P23469,27,3,14,3,3,1,0,0,1,2
O95456,16,9,0,3,0,1,1,0,0,2
Q9Y3U8,4,1,1,0,0,1,0,0,1,0
Q969G2,34,15,8,2,1,4,1,1,1,1
A8MVA2,31,1,5,0,0,0,9,16,0,0
P58180,1,0,1,0,0,0,0,0,0,0
Q8NGP3,4,0,2,1,0,0,0,0,1,0
P0DN80,2,0,1,1,0,0,0,0,0,0
Q99623,22,6,3,6,0,5,0,0,1,1
O43688,8,4,1,0,1,0,0,0,1,1
P63132,42,16,7,6,1,6,2,1,3,0
Q9Y3C6,9,2,3,1,0,2,0,0,1,0
P20264,44,20,8,1,0,0,0,12,2,1
O00764,14,9,1,1,0,1,1,0,0,1
P11086,12,5,1,1,0,1,0,1,3,0
Q9P212,135,83,27,9,4,7,2,1,2,0
Q8NI37,8,4,0,0,0,1,2,0,1,0
Q00889,15,4,8,0,0,1,0,0,1,1
O95997,26,16,0,2,1,1,2,3,1,0
Q13332,85,43,18,6,4,3,0,0,9,2
P0DJH9,10,4,2,0,2,0,0,2,0,0
Q9HBD1,96,40,28,9,2,6,0,5,1,5
Q9UL26,12,2,1,1,0,1,3,2,1,1
Q9H2T7,23,12,6,0,1,2,1,0,1,0
Q6IQ22,19,4,0,3,0,0,2,6,3,1
P61019,10,1,2,1,2,0,2,0,2,0
Q7Z6E9,216,112,40,14,10,7,1,21,10,1
Q9NS91,42,27,5,4,0,5,0,1,0,0
P61006,12,4,1,2,1,1,0,0,2,1
Q68EM7,101,35,32,13,5,2,0,9,5,0
Q9NWB1,32,6,14,0,0,0,1,5,6,0
Q6PCD5,32,17,7,3,1,2,0,0,2,0
P35250,11,4,2,1,0,2,2,0,0,0
P50120,7,3,1,1,0,0,2,0,0,0
Q9BZI7,50,27,5,4,5,3,0,0,3,3
Q9H920,6,3,0,0,1,0,0,0,0,2
Q9Y508,8,2,0,1,0,2,1,0,0,2
Q96MT1,22,7,3,2,1,1,2,0,1,5
P36578,33,6,4,5,6,3,1,2,5,1
P12271,7,3,1,2,1,0,0,0,0,0
Q68DV7,55,22,12,3,2,0,2,4,7,3
P47736,73,43,12,3,5,2,1,3,4,0
P14678,50,3,4,0,0,1,0,35,6,1
P62081,8,3,1,2,1,1,0,0,0,0
P82650,19,8,0,4,4,3,0,0,0,0
Q8N4F4,10,2,5,1,1,0,1,0,0,0
Q8TBP6,5,2,2,1,0,0,0,0,0,0
O95156,18,9,4,3,0,2,0,0,0,0
Q8N146,3,1,2,0,0,0,0,0,0,0
Q9UKK6,5,2,0,0,1,1,1,0,0,0
P0C628,1,0,1,0,0,0,0,0,0,0
Q8NGK0,3,0,1,0,1,0,1,0,0,0
Q6ZVC0,90,58,12,3,1,1,0,7,7,1
Q96R47,5,1,1,1,0,1,0,0,0,1
Q8NGN4,4,2,0,1,0,0,0,0,1,0
Q8NH73,6,1,1,1,0,0,1,0,1,1
Q9ULC6,26,11,2,2,2,4,1,2,2,0
Q9Y5G2,42,13,16,4,2,3,1,0,2,1
P0DN26,16,4,2,1,1,7,0,0,1,0
Q4G0U5,37,10,10,5,4,7,0,0,0,1
Q8IY49,2,0,0,1,0,1,0,0,0,0
O95263,61,33,9,6,1,4,3,2,2,1
P51160,26,10,4,7,2,1,0,0,1,1
Q9NPG4,59,31,10,8,0,2,3,1,1,3
Q9Y5E2,22,12,6,2,1,0,1,0,0,0
O15350,50,17,18,6,0,1,0,3,3,2
Q15120,18,11,2,4,0,1,0,0,0,0
P23219,17,6,5,1,1,1,0,2,1,0
Q9UKK3,92,37,17,14,2,7,2,5,5,3
Q86V59,32,17,5,2,2,2,0,1,3,0
O43316,31,16,4,3,1,0,0,1,4,2
Q8N4L2,17,7,3,0,0,0,3,4,0,0
Q15124,24,11,4,1,0,2,0,1,1,4
Q8N414,28,14,5,1,0,3,1,3,1,0
P15309,12,6,3,0,0,2,0,0,0,1
Q9P1A2,15,7,6,1,0,1,0,0,0,0
Q13401,8,5,1,2,0,0,0,0,0,0
Q96BZ4,35,8,14,1,0,3,1,2,4,2
P40967,48,7,34,0,0,0,0,1,2,4
O15297,50,29,9,4,0,1,2,4,0,1
Q02325,4,3,0,0,0,0,0,0,1,0
P26678,4,2,0,0,0,1,1,0,0,0
P13796,34,13,8,1,1,10,1,0,0,0
O14818,12,3,2,4,0,1,0,0,1,1
P27918,27,5,8,1,0,0,3,9,0,1
Q8N8Z3,21,13,3,1,0,0,0,0,4,0
Q13046,17,2,12,0,0,1,0,0,1,1
O75832,8,1,0,3,0,3,1,0,0,0
Q15262,49,13,27,1,2,3,0,0,0,3
Q59GN2,1,0,0,0,0,1,0,0,0,0
A8MTL3,37,31,0,0,0,2,2,0,2,0
Q6NUJ5,53,35,8,2,1,0,1,4,1,1
P01116,11,3,1,1,0,1,1,1,3,0
P48304,11,4,1,0,0,1,2,0,0,3
Q69383,8,1,2,0,1,1,0,1,1,1
P04090,13,8,0,0,0,0,4,0,0,1
Q5U651,77,33,16,7,0,1,1,9,6,4
Q15291,36,23,4,5,1,1,0,0,0,2
Q9NYW8,23,15,5,1,1,0,0,0,1,0
P0C0E4,18,7,1,2,0,2,1,4,0,1
Q13123,38,18,7,5,1,4,0,2,0,1
Q7Z6P3,85,42,16,14,0,0,2,7,2,2
Q53QZ3,33,19,6,3,0,3,0,0,1,1
Q96IC2,24,6,4,5,1,3,2,1,1,1
O14827,77,42,14,5,6,6,1,0,1,2
Q9H0H5,53,35,6,2,1,2,2,0,2,3
Q5W5W9,21,2,9,0,2,2,4,2,0,0
P10745,41,14,11,10,2,0,0,0,1,3
P52758,2,1,0,0,0,1,0,0,0,0
Q96L33,9,3,1,3,0,0,1,0,0,1
P18621,9,3,1,0,0,3,0,0,2,0
Q96EL3,5,1,1,2,0,0,0,1,0,0
P62945,2,1,0,0,0,0,0,1,0,0
O15514,8,5,2,1,0,0,0,0,0,0
Q8NGI6,5,1,1,0,0,1,1,0,0,1
Q8NGP0,3,0,2,0,0,0,1,0,0,0
Q8NGV6,5,1,1,1,0,0,2,0,0,0
P48739,17,6,1,3,2,1,1,0,3,0
O00264,16,11,1,1,1,1,0,0,0,1
Q5SV97,109,49,29,7,1,0,0,18,4,1
O15428,7,1,1,2,0,1,0,1,1,0
Q6NUP7,38,21,4,1,1,4,1,4,1,1
Q6XQN6,15,8,0,2,0,0,1,0,1,3
Q9H792,175,110,29,16,3,9,2,2,4,0
Q8N7P1,30,8,13,3,0,4,1,0,0,1
Q5VZY2,10,4,2,0,2,0,0,0,0,2
Q9Y244,8,4,2,1,1,0,0,0,0,0
Q9P0L9,42,20,7,7,2,2,1,1,0,2
Q0VAA5,20,10,2,4,0,0,0,1,3,0
Q86YW0,14,4,2,1,1,6,0,0,0,0
Q9NRZ7,10,3,0,2,0,4,0,0,0,1
Q3B8N5,35,22,4,5,1,0,0,1,2,0
Q8N271,37,12,10,2,2,0,6,1,0,4
P21108,16,9,3,0,0,0,1,2,1,0
P28072,9,3,1,1,0,1,0,0,2,1
Q9BRX5,7,6,0,0,1,0,0,0,0,0
O00232,22,8,2,4,2,5,0,0,0,1
Q9Y3L5,8,2,1,1,0,0,2,0,1,1
Q6UW15,12,5,0,0,0,2,2,2,0,1
A0A1B0GV85,33,20,9,2,0,1,0,0,1,0
Q9P260,73,41,9,8,3,3,1,6,1,1
Q7Z6M1,28,14,6,2,0,1,1,1,2,1
Q14964,12,4,0,1,0,3,2,0,0,2
Q6ZRY4,21,4,10,3,0,2,1,0,0,1
P20339,23,5,4,3,1,2,2,2,4,0
O14559,126,79,12,5,0,0,0,17,11,2
A6NI28,68,45,8,7,3,3,0,1,1,0
Q96EV2,117,43,22,12,6,0,0,12,15,7
O14924,131,82,19,7,1,5,2,9,5,1
O94955,18,7,2,1,1,2,1,1,0,3
Q92963,13,6,2,2,0,1,1,1,0,0
Q96L21,15,2,0,1,0,5,2,4,1,0
Q96DV4,24,11,1,5,0,0,1,2,0,4
Q7L0R7,37,12,5,1,0,0,0,13,6,0
Q969K3,30,15,6,3,0,0,3,0,3,0
Q96GF1,20,4,8,2,0,0,1,1,2,2
Q96T23,162,110,12,13,12,5,1,4,1,4
Q9NPB1,13,3,2,2,0,2,3,0,1,0
Q9NZP2,6,1,2,0,1,1,0,0,1,0
Q8NGR9,7,1,2,0,0,3,0,0,0,1
Q8NGL3,6,1,2,1,0,1,0,0,0,1
P47883,10,5,1,0,0,1,1,1,0,1
Q9P121,21,7,9,1,1,1,2,0,0,0
Q13492,54,12,28,8,0,2,0,1,1,2
P78356,29,10,11,4,0,2,1,0,1,0
Q8TCD6,5,0,2,0,1,2,0,0,0,0
Q9BSJ6,30,23,0,2,0,3,0,0,2,0
Q5SRE7,17,10,3,3,0,0,1,0,0,0
E7EU14,7,4,2,1,0,0,0,0,0,0
O60486,77,20,36,7,3,9,1,0,1,0
P16112,110,69,29,4,0,2,0,5,1,0
P30086,18,10,3,3,1,0,0,0,1,0
Q8IXQ8,21,9,4,4,2,0,0,0,1,1
O15031,74,29,15,12,2,5,1,2,4,4
O95744,16,5,5,0,1,1,0,4,0,0
Q8TCS8,45,17,7,6,3,6,4,1,1,0
Q9UG56,17,10,1,2,0,1,1,0,1,1
Q8NG27,91,55,19,2,3,0,1,7,3,1
Q6MZQ0,24,16,2,1,1,1,0,0,3,0
Q15147,47,14,8,8,3,11,0,0,0,3
Q86WR7,55,38,2,1,1,1,1,2,9,0
Q6ZRP0,22,12,1,0,0,0,3,3,3,0
O75360,25,9,8,1,0,0,0,3,3,1
B1ATL7,17,6,3,1,0,1,1,3,2,0
P79522,25,6,2,2,0,0,0,3,11,1
O60828,21,13,0,5,1,0,0,1,0,1
Q9NQV6,51,20,12,6,1,2,4,4,2,0
Q5VV67,187,98,44,11,5,1,0,13,8,7
P57071,92,40,21,6,2,6,1,8,5,3
Q9NYI0,75,43,16,6,3,4,0,3,0,0
P22234,16,6,2,1,3,3,1,0,0,0
Q96A99,29,11,7,4,0,0,4,1,0,2
Q06323,11,3,1,4,2,1,0,0,0,0
A0A096LP55,9,4,0,1,0,2,0,0,0,2
Q14644,29,15,2,1,1,3,0,4,1,2
O14807,6,1,4,0,1,0,0,0,0,0
Q15415,62,45,1,1,1,3,0,4,7,0
P04808,16,10,1,0,0,0,4,0,0,1
P61574,7,1,1,0,1,1,0,1,1,1
Q96S59,71,23,13,3,0,1,0,30,0,1
Q9NX57,18,5,1,2,0,1,2,2,2,3
Q9UNA1,52,27,12,1,0,6,2,4,0,0
O75677,17,6,3,1,0,0,5,1,0,1
P49796,78,53,8,7,4,1,1,2,1,1
Q9UFD9,115,61,7,11,3,2,0,13,6,12
Q8NFH8,75,45,17,4,1,1,0,5,2,0
Q9BYD3,21,7,3,1,1,1,0,2,5,1
O75792,19,12,1,5,1,0,0,0,0,0
Q6ZMZ0,62,29,4,4,2,0,0,19,4,0
P07998,11,7,3,0,0,0,0,0,0,1
Q86VF7,126,60,11,22,0,18,2,1,8,4
Q8NGN1,4,1,1,0,0,1,0,0,0,1
Q9GZY6,27,19,1,3,0,1,2,1,0,0
Q8NH64,6,0,2,1,1,1,1,0,0,0
A6NHA9,2,0,1,0,0,0,1,0,0,0
Q9H255,6,0,2,1,0,1,1,0,1,0
P78380,15,6,3,1,0,2,2,0,0,1
Q9H341,5,0,1,1,0,0,0,0,1,2
Q8IWE2,35,24,6,4,0,1,0,0,0,0
Q86UW2,9,4,2,2,0,0,0,0,0,1
Q8NGF3,5,0,0,0,0,0,2,0,1,2
Q8N2R0,20,10,2,3,0,2,0,0,3,0
P56373,22,8,5,2,0,6,1,0,0,0
Q8NGI3,8,0,4,1,0,1,0,0,0,2
Q8TCB6,6,1,2,0,0,0,0,0,1,2
A6NIJ9,6,1,2,0,0,2,1,0,0,0
P02818,6,0,0,2,0,1,1,1,0,1
A6ND48,4,1,1,0,0,0,0,0,0,2
Q8NGF9,1,0,1,0,0,0,0,0,0,0
Q9HBE1,43,25,5,3,0,2,1,1,5,1
Q92535,7,1,1,1,1,1,0,0,0,2
Q8N6C7,6,2,1,0,0,1,1,0,1,0
Q02962,39,18,12,2,0,1,1,1,3,1
Q9Y6X2,39,19,10,1,4,3,1,1,0,0
Q14863,25,15,3,3,1,1,0,1,0,1
Q6P3X8,26,15,3,1,0,2,1,0,3,1
P20618,15,9,2,1,0,1,0,0,2,0
P60673,6,1,1,1,0,1,1,0,1,0
Q99946,34,4,11,0,0,0,0,11,5,3
Q16849,66,35,5,12,2,2,2,4,0,4
P10586,93,50,23,6,0,3,0,3,5,3
Q15008,5,1,0,1,0,3,0,0,0,0
P11217,34,12,8,2,2,7,0,1,1,1
P06737,43,11,11,8,1,9,0,0,1,2
A1KZ92,69,25,15,5,2,3,1,7,8,3
P18754,15,6,2,2,1,1,0,1,2,0
Q15293,14,8,1,2,1,0,0,0,2,0
Q15382,12,4,1,1,0,2,0,1,2,1
O14966,10,4,2,2,0,0,2,0,0,0
Q15771,8,6,1,0,0,0,1,0,0,0
Q17R89,70,34,19,3,1,1,0,2,5,5
P51149,11,3,0,2,1,0,2,0,2,1
Q5JT25,10,5,2,1,0,0,1,0,0,1
P0DJD1,151,85,31,15,5,8,0,2,3,2
Q6ZWI9,5,2,0,0,0,1,0,0,1,1
Q5UIP0,203,131,38,8,9,6,1,2,4,4
P26373,20,8,1,0,0,3,0,3,4,1
P61353,4,0,0,0,1,2,0,0,1,0
Q9Y535,14,8,5,0,1,0,0,0,0,0
Q9UHV5,31,16,3,0,1,2,1,3,3,2
A6NCQ9,13,11,0,0,0,0,2,0,0,0
P32242,25,7,13,1,0,0,0,2,1,1
Q15620,2,0,1,1,0,0,0,0,0,0
O00628,6,2,1,2,0,0,1,0,0,0
Q6UXB8,46,13,23,5,0,0,1,2,1,1
Q96RG2,54,33,8,4,1,2,1,1,1,3
Q9NQ66,84,41,14,14,5,4,0,2,0,4
Q99633,15,4,1,3,1,3,1,1,0,1
Q92786,61,37,4,10,3,2,0,0,3,2
Q86XR5,30,6,3,1,0,0,3,15,0,2
Q96QR8,24,11,0,4,1,3,0,1,4,0
P06401,68,35,12,1,2,2,0,8,4,4
O15067,45,19,9,7,0,1,1,3,4,1
Q14914,13,5,1,4,0,1,0,0,2,0
Q9UMZ3,138,42,66,7,8,8,0,0,5,2
P35236,17,12,2,1,0,0,0,0,1,1
P01270,8,5,0,1,0,1,0,0,1,0
Q6ISU1,19,7,7,1,0,0,4,0,0,0
Q3MIT2,20,7,5,3,3,1,0,1,0,0
Q2TAK8,62,29,7,9,0,5,1,8,3,0
Q7Z4M0,10,2,4,2,0,0,1,0,0,1
Q9H6Z4,67,39,13,5,2,2,0,5,1,0
P60763,10,1,1,1,0,0,1,4,1,1
Q9NRW1,14,5,1,1,1,1,1,3,0,1
Q9GZR2,41,16,3,4,3,8,1,2,4,0
Q6ZVN8,32,11,7,1,0,1,1,6,4,1
Q7Z5H3,54,40,2,2,0,1,0,4,4,1
P41220,17,6,4,1,2,1,2,0,0,1
P48378,41,23,10,0,2,2,0,1,2,1
A6NFN3,36,5,14,0,0,0,0,13,3,1
O00212,6,3,0,0,0,0,1,1,0,1
Q6BDI9,8,4,0,1,0,2,0,0,0,1
P61586,6,3,0,0,2,0,0,0,1,0
Q6NUM9,17,7,1,2,1,2,0,0,3,1
Q9BWE0,38,14,2,7,0,1,4,7,1,2
P61254,13,6,2,2,0,3,0,0,0,0
Q9BYC8,7,2,2,2,0,0,0,1,0,0
Q9BYD6,16,6,1,2,2,3,1,0,0,1
Q15070,19,5,4,3,0,2,3,0,2,0
Q96R48,3,1,1,0,0,0,0,0,1,0
Q8NGG7,6,1,1,1,0,0,1,2,0,0
O76000,6,1,1,0,0,0,1,1,0,2
O00168,8,5,0,0,1,0,2,0,0,0
Q13670,23,11,2,1,0,1,0,5,3,0
Q96Q06,44,19,12,5,0,3,0,2,2,1
P53041,17,6,3,3,1,3,0,1,0,0
O75817,6,4,2,0,0,0,0,0,0,0
O43660,24,6,9,4,0,3,0,0,2,0
Q8NEB9,44,23,7,4,3,6,1,0,0,0
P16298,28,5,2,3,1,2,0,13,2,0
Q15435,15,10,3,0,0,1,0,0,1,0
Q99943,15,2,2,2,1,2,1,2,2,1
Q9NWT1,11,4,0,4,2,0,0,0,0,1
P81277,9,5,0,1,0,0,0,0,3,0
Q7Z5A4,15,5,4,0,0,3,1,0,1,1
Q8IV56,11,8,0,0,0,0,0,3,0,0
Q9NRI7,3,0,0,0,0,0,3,0,0,0
A8MZF0,41,24,9,2,0,0,0,5,0,1
Q99436,13,3,4,3,0,1,0,1,1,0
Q9BXM0,96,44,8,22,9,5,0,5,3,0
Q9NQV8,73,31,20,9,1,0,2,4,5,1
Q96I23,8,2,1,1,1,0,1,2,0,0
Q13635,66,20,17,2,0,6,2,11,6,2
Q13882,24,14,1,5,2,0,0,0,1,1
Q9Y272,15,9,2,0,1,0,1,0,2,0
Q92698,46,27,3,3,1,5,1,2,2,2
Q8IZ40,68,21,17,5,1,3,0,13,6,2
Q9NW64,33,11,1,3,0,2,0,13,1,2
Q13972,83,54,11,7,2,5,1,1,1,1
Q9NS28,14,7,0,1,1,4,1,0,0,0
Q9BWJ2,4,3,0,0,0,0,0,1,0,0
Q8WZ73,31,18,6,0,0,0,4,2,0,1
Q9UBD6,16,3,10,0,0,0,1,1,0,1
O43566,57,34,7,6,1,0,1,2,3,3
Q9BSD3,22,7,6,3,1,1,0,1,1,2
Q5TAB7,12,7,3,1,1,0,0,0,0,0
A6NNM3,116,62,6,11,3,2,1,13,6,12
Q8TEB7,27,7,8,3,0,1,1,3,4,0
P36954,3,2,0,0,0,0,0,1,0,0
Q9NW08,34,8,9,6,1,6,0,0,2,2
O15446,41,25,8,1,3,0,0,0,3,1
O15318,22,11,0,5,2,1,0,0,2,1
Q5GAN4,4,1,2,0,0,0,0,0,1,0
Q6ZRF8,21,11,2,3,1,1,2,1,0,0
Q9Y3C5,14,10,2,0,0,0,1,0,1,0
Q07001,15,8,3,1,1,2,0,0,0,0
Q9Y615,19,6,3,2,0,2,1,3,0,2
P41595,19,12,3,1,0,1,1,0,0,1
Q15172,25,14,5,0,0,4,0,2,0,0
P28566,17,7,5,0,0,0,2,1,2,0
Q8N9L9,13,1,4,2,0,2,0,3,1,0
